"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
21.49 9.89 9.89 13.19 8.69 14.89 27.59 26.39 26.39 40.49 17.39 18.59
10.19 9.99 8.49 28.89 9.29 24.69 49.09 16.79 27.59 17.19 23.89 28.49
8.69 16.39 11.59 7.09 11.19 13.19 23.39 28.59 24.59 13.89 16.59 4.19
6.29 11.69 3.39 4.99 11.79 17.69 11.79 21.79 31.89 16.69 19.79 16.29
8.99 11.29 9.99 9.19 25.09 45.79 18.89 45.59 43.99 45.89 5.99 10.09
20.39 11.59 16.79 19.29 15.69 46.49 7.99 21.79 23.69 12.89 17.09 25.89
5.79 11.59 9.29 21.69 6.99 41.79 38.69 12.19 44.49 24.19 4.59 12.69
16.09 9.99 8.59 10.29 14.99 14.39 36.99 21.59 29.99 13.09 18.59 14.39
15.49 15.89 9.99 9.69 15.99 19.29 16.99 52.49 47.99 25.79 14.59 59.59
7.19 10.49 48.59 17.79 8.99 12.49 17.79 53.49 37.09 18.79 24.99 8.29
15.99 28.29 9.29 12.19 20.19 43.09 21.59 30.09 19.89 20.69 25.99 8.89
6.69 11.69 28.29 8.59 27.99 35.49 23.89 17.89 7.59 43.29 36.89 17.19
19.89 14.89 15.69 13.39 6.89 39.69 41.49 55.49 72.99 30.29 9.49 23.29
8.19 7.69 23.19 26.79 17.39 29.19 53.89 62.49 40.19 23.59 16.79 12.19
8.89 9.49 20.19 25.09 24.89 30.69 35.39 41.69 4.69 22.99 6.79 22.39
12.25 12.25 14.25 13.25 15.25 29.25 32.25 32.25 30.25 25.25 17.25 17.25
12.25 12.25 14.25 13.25 15.25 29.25 32.25 32.25 30.25 25.25 17.25 17.25
12.25 8.85 2.55 4.65 10.75 28.15 9.55 21.05 30.25 25.25 17.25 17.25
6.65 9.15 4.35 4.25 10.65 32.45 7.75 26.75 5.35 31.15 10.75 5.15
8.55 15.05 2.65 4.05 6.45 39.65 97.55 38.85 14.55 22.15 11.05 5.15
1.25 6.15 5.85 6.15 20.55 35.05 33.25 29.65 27.95 27.75 16.15 18.75
12.75 7.15 4.75 6.35 9.25 21.75 35.25 76.55 19.15 30.45 9.25 5.25
7.15 8.65 6.55 8.65 12.95 24.05 42.85 55.85 18.65 15.85 7.55 7.45
5.15 9.25 8.55 5.65 6.15 45.65 34.45 41.55 61.85 20.95 10.55 19.45
14.45 7.35 10.95 18.35 24.25 45.45 29.45 36.95 37.65 29.75 9.65 4.75
1.55 6.95 2.25 24.85 22.05 58.85 65.85 57.85 41.75 45.55 20.85 1.05
30.45 23.75 3.35 10.35 20.05 42.85 84.65 65.75 39.75 20.85 8.95 14.05
10.25 12.45 3.25 11.95 26.35 22.35 28.45 77.45 48.75 17.45 6.45 7.45
13.65 6.35 7.05 10.95 23.85 29.55 29.75 40.75 32.35 29.85 18.25 16.65
12.25 13.45 12.65 11.35 17.95 27.65 29.85 37.85 29.25 24.25 15.45 16.85
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
9.37 15.57 15.77 32.97 30.87 8.47 58.67 51.37 34.37 25.27 19.77 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
6.67 12.27 2.07 9.17 23.67 32.57 23.77 12.07 22.27 27.07 6.37 8.57
12.27 6.07 8.97 9.17 17.97 21.57 53.17 75.37 25.37 23.37 10.67 26.97
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
12.27 12.27 14.27 13.27 15.27 29.27 32.27 32.27 30.27 25.27 17.27 17.27
