"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.89 -32.59 -28.49 -18.39 -7.59 4.51 12.81 9.31 1.41 -12.69 -27.49 -31.29
-33.89 -32.99 -29.39 -17.79 -7.69 4.31 12.31 9.31 1.41 -14.19 -27.29 -30.99
-35.59 -33.49 -26.79 -18.79 -7.89 4.91 12.31 9.21 1.41 -13.09 -27.19 -28.99
-33.59 -31.99 -28.19 -18.29 -7.49 4.51 12.11 9.71 1.41 -13.09 -27.19 -30.49
-34.59 -34.19 -28.09 -18.09 -7.19 5.41 13.01 9.61 1.21 -13.79 -27.09 -31.69
-35.99 -31.89 -27.29 -19.09 -7.79 4.11 11.91 9.11 0.71 -13.69 -26.69 -31.59
-34.49 -32.89 -27.69 -18.99 -8.09 3.71 12.21 9.11 1.31 -13.99 -28.99 -31.29
-34.89 -31.19 -28.09 -18.79 -7.79 3.81 12.61 8.71 1.41 -12.99 -27.09 -31.39
-34.49 -33.89 -27.39 -18.29 -7.59 4.91 12.61 9.71 0.91 -12.59 -26.59 -30.79
-34.39 -31.99 -27.89 -18.49 -7.59 3.81 12.81 8.91 1.41 -13.19 -27.19 -30.49
-34.69 -32.79 -27.39 -17.99 -7.69 5.01 12.31 9.21 1.51 -12.69 -27.69 -29.69
-34.69 -32.99 -27.69 -18.49 -7.79 4.61 12.51 9.21 1.31 -13.19 -27.19 -30.49
-34.69 -32.99 -27.69 -18.49 -7.59 5.21 12.61 9.51 1.41 -12.99 -27.29 -32.09
-35.79 -32.09 -28.79 -19.19 -8.39 4.51 12.71 9.21 1.01 -13.29 -26.79 -30.69
-34.79 -31.59 -28.89 -19.29 -7.69 4.41 12.51 9.31 1.41 -13.49 -28.29 -31.99
-34.99 -32.69 -28.59 -18.49 -7.69 4.41 12.71 9.21 1.31 -12.79 -27.59 -31.39
-33.99 -33.09 -29.49 -17.89 -7.79 4.21 12.21 9.21 1.31 -14.29 -27.39 -31.09
-35.69 -33.59 -26.89 -18.89 -7.99 4.81 12.21 9.11 1.31 -13.19 -27.29 -29.09
-33.69 -32.09 -28.29 -18.39 -7.59 4.41 12.01 9.61 1.31 -13.19 -27.29 -30.59
-34.69 -34.29 -28.19 -18.19 -7.29 5.31 12.91 9.51 1.11 -13.89 -27.19 -31.79
-34.47 -33.27 -28.77 -18.97 -8.57 3.93 11.73 8.93 1.63 -12.97 -28.47 -32.67
-35.87 -36.17 -29.97 -19.77 -5.97 4.73 12.93 7.53 0.03 -15.27 -28.77 -28.77
-35.07 -31.87 -28.77 -18.87 -9.87 4.03 12.63 8.93 1.73 -14.27 -26.67 -30.97
-35.97 -35.67 -30.37 -18.57 -7.77 3.83 11.43 11.53 2.83 -10.67 -29.07 -32.57
-31.87 -29.17 -24.07 -18.87 -8.47 3.93 11.13 10.03 0.63 -13.97 -27.47 -32.57
-33.87 -32.87 -27.37 -19.07 -8.77 4.13 12.83 7.73 0.73 -11.37 -24.87 -31.77
-32.97 -37.77 -24.87 -19.67 -6.47 6.03 13.33 9.53 0.73 -14.47 -26.87 -29.67
-33.77 -31.47 -30.17 -19.47 -9.57 5.13 12.63 11.43 2.73 -11.97 -26.97 -30.57
-36.57 -31.17 -25.87 -19.57 -6.27 4.23 14.83 9.63 1.73 -11.17 -23.17 -30.57
-30.37 -31.97 -30.07 -18.87 -8.67 3.23 10.53 7.53 0.53 -12.27 -26.67 -31.67
-32.97 -36.17 -23.77 -17.97 -10.47 2.93 11.93 9.83 0.13 -11.47 -26.97 -30.97
-36.77 -28.77 -29.17 -18.27 -5.07 5.03 10.33 8.43 2.33 -11.97 -30.37 -33.27
-33.37 -30.27 -30.07 -19.47 -8.27 4.23 12.93 10.63 1.83 -12.97 -24.47 -29.37
-36.87 -32.47 -28.47 -19.17 -9.27 2.73 14.93 8.43 2.63 -8.27 -24.17 -31.37
-27.87 -37.17 -28.57 -20.37 -7.37 5.13 12.73 6.73 0.43 -14.97 -19.07 -32.37
-36.48 -36.28 -27.98 -16.68 -8.08 4.32 13.12 7.52 -1.58 -12.38 -29.48 -35.98
-34.98 -36.48 -26.08 -16.48 -4.38 5.62 13.32 9.02 0.62 -6.08 -26.38 -29.48
-31.78 -34.98 -25.98 -19.28 -6.88 4.52 12.92 9.72 3.52 -7.78 -18.68 -31.58
-30.88 -32.18 -25.18 -16.28 -6.78 3.02 10.92 8.62 2.82 -8.48 -30.88 -25.98
-37.78 -35.68 -28.48 -19.48 -5.98 5.42 11.32 7.62 0.82 -12.98 -29.58 -31.68
-37.98 -37.18 -31.18 -18.88 -6.98 3.42 11.32 7.92 3.22 -8.48 -26.28 -27.98
-36.68 -30.28 -31.28 -19.78 -7.58 4.32 11.12 8.32 3.32 -15.18 -29.18 -35.08
-35.68 -29.58 -25.98 -13.98 -5.18 5.72 15.52 7.62 0.62 -11.48 -24.38 -27.48
-36.58 -34.98 -28.48 -17.28 -7.68 6.72 12.42 11.12 -0.38 -10.68 -24.88 -25.98
-24.98 -37.88 -33.78 -18.78 -8.88 5.32 13.52 9.52 0.42 -13.18 -30.08 -37.88
-36.18 -27.28 -26.58 -21.58 -9.78 6.12 13.32 7.72 1.42 -17.58 -20.58 -26.08
-32.68 -35.18 -29.38 -20.18 -6.58 6.62 12.32 10.02 -2.78 -17.08 -34.08 -35.78
-34.58 -35.78 -32.78 -21.98 -9.08 2.32 13.42 7.12 -0.78 -16.68 -32.68 -38.68
-38.68 -31.98 -23.68 -19.38 -8.38 8.02 12.92 10.72 2.32 -12.58 -23.88 -31.78
-36.78 -38.48 -32.98 -19.88 -6.88 6.72 10.92 7.22 0.12 -15.58 -30.38 -26.58
-36.34 -36.14 -27.84 -16.54 -7.94 4.46 13.26 7.66 -1.44 -12.24 -29.34 -35.84
-34.84 -36.34 -25.94 -16.34 -4.24 5.76 13.46 9.16 0.76 -5.94 -26.24 -29.34
-31.64 -34.84 -25.84 -19.14 -6.74 4.66 13.06 9.86 3.66 -7.64 -18.54 -31.44
-30.74 -32.04 -25.04 -16.14 -6.64 3.16 11.06 8.76 2.96 -8.34 -30.74 -25.84
-37.64 -35.54 -28.34 -19.34 -5.84 5.56 11.46 7.76 0.96 -12.84 -29.44 -31.54
