"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.92 -29.62 -25.52 -15.42 -4.62 7.48 15.78 12.28 4.38 -9.72 -24.52 -28.32
-30.92 -30.02 -26.42 -14.82 -4.72 7.28 15.28 12.28 4.38 -11.22 -24.32 -28.02
-32.62 -30.52 -23.82 -15.82 -4.92 7.88 15.28 12.18 4.38 -10.12 -24.22 -26.02
-30.62 -29.02 -25.22 -15.32 -4.52 7.48 15.08 12.68 4.38 -10.12 -24.22 -27.52
-31.62 -31.22 -25.12 -15.12 -4.22 8.38 15.98 12.58 4.18 -10.82 -24.12 -28.72
-36.55 -31.45 -21.15 -15.25 -5.45 6.75 14.15 10.85 5.75 -9.25 -22.95 -30.95
-29.85 -27.95 -24.05 -13.75 -6.25 6.65 15.55 13.15 4.75 -9.55 -26.45 -32.75
-30.65 -29.85 -26.35 -17.95 -6.65 7.05 15.05 12.65 3.05 -9.05 -22.95 -30.65
-32.65 -21.25 -29.85 -18.25 -7.05 6.65 15.95 12.15 5.45 -9.85 -24.35 -27.15
-33.75 -34.35 -24.25 -14.75 -6.35 4.75 17.45 13.55 4.85 -9.65 -27.25 -28.55
-35.25 -36.65 -30.45 -18.45 -4.65 6.65 14.45 12.05 4.25 -13.05 -26.15 -19.65
-32.25 -31.45 -24.35 -13.95 -5.05 9.05 17.75 11.85 4.25 -3.35 -15.85 -21.05
-30.15 -26.25 -17.45 -12.55 -4.85 6.85 15.35 11.35 3.55 -10.35 -32.55 -32.65
-32.75 -36.35 -27.45 -17.25 -4.55 8.45 17.75 12.65 2.25 -10.75 -20.05 -24.35
-31.05 -31.95 -23.75 -17.75 -6.95 6.65 16.75 10.15 4.35 -11.65 -22.05 -27.05
-32.35 -30.25 -24.35 -16.85 -3.55 7.55 16.85 15.25 6.15 -9.95 -18.45 -24.15
-32.65 -29.85 -25.85 -13.25 -6.35 8.05 14.85 11.55 2.45 -9.25 -28.65 -28.75
-30.15 -25.85 -21.15 -16.75 -4.05 6.95 15.55 13.55 4.65 -11.45 -26.75 -30.75
-35.45 -31.95 -21.85 -13.45 -4.55 6.95 13.25 12.15 4.65 -14.95 -29.75 -29.05
-28.65 -28.95 -23.85 -13.95 -2.65 9.95 16.05 12.05 5.45 -9.45 -22.75 -20.55
-26.27 -31.87 -24.87 -11.27 -5.77 7.33 13.13 10.93 4.73 -12.67 -24.47 -32.57
-30.07 -33.47 -28.17 -13.37 -1.97 8.03 14.13 10.13 3.53 -15.27 -24.47 -29.47
-35.97 -28.87 -27.17 -16.17 -5.17 7.73 15.83 12.63 3.83 -7.27 -17.77 -33.87
-39.67 -40.37 -29.07 -18.57 -6.57 9.63 17.03 11.23 3.03 -12.57 -25.87 -26.37
