"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
12.43 12.43 14.43 14.43 16.43 33.43 35.43 37.43 33.43 27.43 19.43 19.43
12.43 12.43 14.43 14.43 16.43 33.43 35.43 37.43 33.43 27.43 19.43 19.43
12.43 12.43 14.43 14.43 16.43 33.43 35.43 37.43 33.43 27.43 19.43 19.43
12.43 12.43 14.43 14.43 16.43 33.43 35.43 37.43 33.43 27.43 19.43 19.43
12.43 12.43 14.43 14.43 16.43 33.43 35.43 37.43 33.43 27.43 19.43 19.43
10.84 10.94 24.24 12.64 21.24 25.64 58.74 10.84 41.84 38.44 18.64 5.34
20.24 17.94 14.04 19.04 21.14 28.04 31.54 21.14 26.04 29.14 11.44 12.04
11.44 20.94 16.24 13.84 13.84 24.24 67.14 27.94 23.24 31.24 31.64 14.54
11.74 25.74 25.64 8.24 27.24 82.54 27.04 40.24 33.34 38.84 10.14 27.54
20.84 4.24 12.94 11.94 15.24 51.84 21.94 30.04 31.94 24.64 8.34 18.84
12.94 10.04 8.44 12.14 29.34 52.84 58.04 32.64 48.34 27.74 21.04 30.24
14.84 14.64 13.64 18.04 11.14 26.34 14.14 48.34 37.14 21.44 31.84 21.74
7.04 8.24 18.44 18.54 12.24 33.44 56.64 47.04 24.84 35.84 5.24 28.34
10.44 10.94 8.94 14.74 9.94 37.94 33.64 23.74 28.14 11.84 22.74 24.24
7.34 3.34 8.14 8.44 16.04 44.64 80.64 43.14 39.84 31.24 17.94 13.04
11.54 7.84 5.24 15.04 8.14 24.04 36.34 45.24 26.34 30.74 29.94 25.74
23.34 12.44 6.44 10.04 21.44 10.64 9.84 53.34 30.14 25.54 16.24 13.44
14.04 20.14 17.84 10.14 13.24 31.34 32.84 57.44 26.74 38.04 22.24 10.44
8.64 7.64 14.84 13.94 11.94 26.84 30.14 46.24 37.24 19.44 29.24 15.64
8.34 8.44 8.24 14.24 20.94 30.14 36.84 17.34 26.34 24.44 16.84 19.74
18.24 10.94 11.14 14.64 11.44 18.64 32.04 35.14 30.14 41.84 22.64 19.44
11.74 10.34 9.84 26.64 12.24 27.94 49.84 18.34 31.84 19.84 26.94 27.34
10.14 16.04 13.24 9.74 12.64 16.94 28.64 34.44 26.04 16.84 17.94 7.54
8.74 12.54 7.54 6.94 16.04 20.24 13.74 25.44 34.64 19.04 24.14 22.94
9.34 11.84 11.64 10.84 24.34 47.94 27.94 46.84 47.24 44.14 10.64 12.74
18.94 13.44 16.04 19.24 17.74 52.94 10.74 25.34 30.34 19.34 19.84 28.64
7.14 12.94 11.34 21.84 9.44 43.24 37.14 17.94 50.64 26.74 6.64 16.34
15.84 10.14 10.24 12.44 16.34 17.34 38.14 28.64 33.64 16.94 20.74 16.84
14.94 17.34 10.74 10.84 16.74 23.24 19.54 55.94 46.04 25.44 15.74 54.74
8.54 11.14 41.14 18.64 11.14 16.84 25.94 56.74 39.84 20.34 26.34 10.44
16.34 24.94 10.84 13.44 21.04 44.14 29.64 37.44 24.84 21.94 27.74 10.44
8.54 12.64 25.24 9.54 26.54 37.94 26.74 22.84 9.14 43.24 34.14 19.74
19.34 14.34 15.94 14.84 8.64 44.94 44.64 70.14 70.84 30.14 11.54 24.14
9.14 8.94 22.54 26.24 18.74 33.14 56.24 66.84 43.54 28.14 21.34 15.24
