"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
12.65 12.65 14.65 14.65 16.65 33.65 35.65 37.65 33.65 27.65 19.65 19.65
12.65 12.65 14.65 14.65 16.65 33.65 35.65 37.65 33.65 27.65 19.65 19.65
12.65 12.65 14.65 14.65 16.65 33.65 35.65 37.65 33.65 27.65 19.65 19.65
12.65 12.65 14.65 14.65 16.65 33.65 35.65 37.65 33.65 27.65 19.65 19.65
12.65 12.65 14.65 14.65 16.65 33.65 35.65 37.65 33.65 27.65 19.65 19.65
11.06 11.16 24.46 12.86 21.46 25.86 58.96 11.06 42.06 38.66 18.86 5.56
20.46 18.16 14.26 19.26 21.36 28.26 31.76 21.36 26.26 29.36 11.66 12.26
11.66 21.16 16.46 14.06 14.06 24.46 67.36 28.16 23.46 31.46 31.86 14.76
11.96 25.96 25.86 8.46 27.46 82.76 27.26 40.46 33.56 39.06 10.36 27.76
21.06 4.46 13.16 12.16 15.46 52.06 22.16 30.26 32.16 24.86 8.56 19.06
13.16 10.26 8.66 12.36 29.56 53.06 58.26 32.86 48.56 27.96 21.26 30.46
15.06 14.86 13.86 18.26 11.36 26.56 14.36 48.56 37.36 21.66 32.06 21.96
7.26 8.46 18.66 18.76 12.46 33.66 56.86 47.26 25.06 36.06 5.46 28.56
10.66 11.16 9.16 14.96 10.16 38.16 33.86 23.96 28.36 12.06 22.96 24.46
7.56 3.56 8.36 8.66 16.26 44.86 80.86 43.36 40.06 31.46 18.16 13.26
11.76 8.06 5.46 15.26 8.36 24.26 36.56 45.46 26.56 30.96 30.16 25.96
23.56 12.66 6.66 10.26 21.66 10.86 10.06 53.56 30.36 25.76 16.46 13.66
14.26 20.36 18.06 10.36 13.46 31.56 33.06 57.66 26.96 38.26 22.46 10.66
8.86 7.86 15.06 14.16 12.16 27.06 30.36 46.46 37.46 19.66 29.46 15.86
8.56 8.66 8.46 14.46 21.16 30.36 37.06 17.56 26.56 24.66 17.06 19.96
18.47 11.17 11.37 14.87 11.67 18.87 32.27 35.37 30.37 42.07 22.87 19.67
11.97 10.57 10.07 26.87 12.47 28.17 50.07 18.57 32.07 20.07 27.17 27.57
10.37 16.27 13.47 9.97 12.87 17.17 28.87 34.67 26.27 17.07 18.17 7.77
8.97 12.77 7.77 7.17 16.27 20.47 13.97 25.67 34.87 19.27 24.37 23.17
9.57 12.07 11.87 11.07 24.57 48.17 28.17 47.07 47.47 44.37 10.87 12.97
19.17 13.67 16.27 19.47 17.97 53.17 10.97 25.57 30.57 19.57 20.07 28.87
7.37 13.17 11.57 22.07 9.67 43.47 37.37 18.17 50.87 26.97 6.87 16.57
16.07 10.37 10.47 12.67 16.57 17.57 38.37 28.87 33.87 17.17 20.97 17.07
15.17 17.57 10.97 11.07 16.97 23.47 19.77 56.17 46.27 25.67 15.97 54.97
8.77 11.37 41.37 18.87 11.37 17.07 26.17 56.97 40.07 20.57 26.57 10.67
16.57 25.17 11.07 13.67 21.27 44.37 29.87 37.67 25.07 22.17 27.97 10.67
8.77 12.87 25.47 9.77 26.77 38.17 26.97 23.07 9.37 43.47 34.37 19.97
19.57 14.57 16.17 15.07 8.87 45.17 44.87 70.37 71.07 30.37 11.77 24.37
9.37 9.17 22.77 26.47 18.97 33.37 56.47 67.07 43.77 28.37 21.57 15.47
9.97 10.97 21.07 24.47 24.87 35.17 34.37 45.27 10.67 25.57 9.57 24.17
