"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.48 -31.78 -28.08 -17.18 -6.58 5.22 13.62 10.02 2.02 -11.58 -27.08 -31.28
-32.68 -32.28 -29.68 -16.28 -6.78 4.92 12.82 9.92 2.02 -14.18 -26.68 -30.78
-35.78 -33.18 -25.28 -17.98 -7.08 5.82 12.82 9.72 2.02 -12.28 -26.58 -27.48
-32.28 -30.58 -27.68 -17.08 -6.48 5.22 12.42 10.52 2.12 -12.38 -26.48 -29.98
-33.98 -34.38 -27.38 -16.78 -5.88 6.62 14.12 10.42 1.72 -13.48 -26.38 -31.98
-36.38 -30.38 -25.98 -18.38 -6.88 4.62 12.12 9.72 0.92 -13.18 -25.68 -31.78
-33.78 -32.08 -26.68 -18.18 -7.38 3.82 12.72 9.72 1.82 -13.68 -29.58 -31.18
-34.38 -29.18 -27.28 -17.78 -6.88 4.12 13.32 9.02 2.02 -12.08 -26.28 -31.48
-33.78 -33.78 -26.08 -16.98 -6.58 5.92 13.32 10.62 1.22 -11.28 -25.38 -30.38
-33.58 -30.48 -26.98 -17.38 -6.48 4.12 13.72 9.42 2.02 -12.38 -26.48 -29.88
-34.08 -31.98 -26.18 -16.58 -6.68 6.22 12.92 9.82 2.22 -11.58 -27.38 -28.48
-34.08 -32.28 -26.68 -17.38 -6.88 5.42 13.22 9.82 1.92 -12.38 -26.48 -29.88
-34.08 -32.28 -26.68 -17.38 -6.48 6.42 13.42 10.32 2.02 -11.98 -26.68 -32.68
-35.88 -30.68 -28.58 -18.58 -7.98 5.22 13.62 9.82 1.42 -12.58 -25.78 -30.18
-34.18 -29.88 -28.68 -18.68 -6.68 5.02 13.12 10.02 2.12 -12.88 -28.28 -32.38
-34.58 -31.88 -28.18 -17.28 -6.68 5.12 13.52 9.92 1.92 -11.68 -27.18 -31.38
-32.78 -32.38 -29.78 -16.38 -6.88 4.82 12.72 9.82 1.92 -14.28 -26.78 -30.88
-35.88 -33.28 -25.38 -18.08 -7.18 5.72 12.72 9.62 1.92 -12.38 -26.68 -27.58
