"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.64 -23.94 -20.24 -9.34 1.26 13.06 21.46 17.86 9.86 -3.74 -19.24 -23.44
-24.84 -24.44 -21.84 -8.44 1.06 12.76 20.66 17.76 9.86 -6.34 -18.84 -22.94
-27.94 -25.34 -17.44 -10.14 0.76 13.66 20.66 17.56 9.86 -4.44 -18.74 -19.64
-24.44 -22.74 -19.84 -9.24 1.36 13.06 20.26 18.36 9.96 -4.54 -18.64 -22.14
-26.14 -26.54 -19.54 -8.94 1.96 14.46 21.96 18.26 9.56 -5.64 -18.54 -24.14
-31.49 -25.99 -15.29 -9.69 0.31 12.11 19.31 15.81 11.21 -4.09 -17.59 -25.89
-23.59 -21.99 -18.69 -8.09 -0.69 12.11 20.91 18.61 10.11 -3.79 -21.69 -27.69
-24.69 -23.19 -19.69 -12.19 -0.99 12.51 20.51 18.01 8.81 -3.09 -16.89 -25.19
-26.49 -15.79 -24.19 -12.49 -1.29 12.21 21.51 17.61 10.81 -4.29 -18.99 -22.09
-28.49 -29.19 -18.39 -8.79 -0.49 10.01 22.51 19.01 10.01 -3.89 -22.39 -22.89
-29.69 -31.99 -24.89 -12.69 1.61 12.31 19.71 17.41 9.71 -7.09 -21.19 -14.69
-26.09 -25.59 -18.89 -7.99 0.61 14.91 23.61 17.11 9.61 2.61 -10.29 -15.49
-25.19 -20.79 -11.29 -6.29 0.71 12.41 21.01 16.51 8.91 -4.59 -27.59 -27.19
-27.79 -31.59 -21.49 -11.49 1.21 13.91 23.41 18.21 7.51 -5.49 -14.69 -19.29
-25.39 -26.69 -18.09 -11.69 -1.29 12.01 22.51 15.41 9.91 -6.19 -16.59 -21.59
-26.49 -25.09 -18.79 -10.99 1.91 13.11 22.61 20.61 11.41 -4.29 -12.19 -18.89
-27.89 -24.89 -20.39 -7.29 -0.69 13.81 20.31 16.81 7.51 -3.69 -23.39 -23.59
-24.39 -20.29 -15.59 -11.39 1.71 12.41 21.11 18.91 10.31 -5.49 -21.19 -25.09
-30.49 -26.89 -16.19 -7.79 0.71 12.21 18.41 17.71 10.01 -9.79 -24.79 -24.19
-22.99 -23.49 -17.69 -8.09 3.31 15.91 21.41 17.21 10.61 -3.79 -17.29 -14.89
-21.65 -26.95 -19.95 -5.55 -0.15 12.95 18.55 16.15 10.15 -7.35 -19.05 -27.35
-24.85 -28.05 -22.15 -7.45 3.75 13.55 19.45 15.35 8.85 -10.05 -18.95 -24.45
-30.75 -22.05 -21.05 -10.05 0.65 13.25 21.35 18.15 9.05 -1.65 -11.65 -28.55
-34.65 -34.95 -23.35 -12.45 -0.95 15.75 22.55 16.65 8.45 -7.25 -20.15 -20.75
-27.45 -24.35 -20.75 -8.65 0.75 11.95 21.55 19.55 9.85 -1.25 -23.45 -20.45
-15.65 -22.55 -19.95 -7.35 0.15 13.95 20.25 17.55 7.95 -6.35 -13.45 -20.95
