"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
11.93 10.13 28.43 11.63 23.03 22.43 58.43 9.73 42.73 37.93 20.53 5.83
26.23 19.93 15.43 22.13 23.03 24.33 33.63 21.23 25.43 30.13 12.53 8.13
11.53 24.23 16.83 15.83 15.43 20.13 66.53 24.53 24.43 32.43 33.43 12.73
14.73 28.23 30.43 9.73 31.53 80.03 23.43 41.73 36.53 43.03 9.13 27.13
24.83 4.23 14.83 12.03 17.63 52.23 20.83 24.63 30.03 25.73 7.43 18.33
15.33 8.93 6.63 13.23 34.43 52.83 59.23 23.93 49.13 24.73 18.43 27.53
18.43 18.13 14.73 21.63 12.53 22.63 13.73 48.23 40.43 22.93 36.53 21.33
8.33 10.13 21.23 17.73 13.03 32.63 56.93 44.03 23.53 39.13 5.43 28.53
12.43 12.53 10.83 18.23 10.83 36.53 35.73 24.23 27.83 11.23 25.43 25.53
8.63 2.73 9.73 6.83 13.43 42.13 81.73 41.03 45.23 31.83 19.23 12.93
14.63 8.23 5.73 15.83 8.53 22.73 41.93 47.93 31.13 32.73 36.23 26.03
28.03 15.13 6.53 9.83 22.23 9.63 9.63 53.23 26.93 24.83 17.03 14.53
17.53 24.03 19.93 10.93 15.33 30.63 34.63 56.93 26.83 40.03 24.93 10.13
10.73 6.93 16.83 15.93 12.83 23.93 25.93 47.03 40.23 17.63 31.73 18.23
8.33 9.13 7.63 16.73 22.03 27.73 36.73 11.73 29.13 21.93 19.13 22.03
22.84 12.84 11.94 16.64 10.84 16.74 28.54 32.24 32.44 41.24 22.94 20.14
12.64 11.04 9.94 29.74 13.84 25.14 47.04 17.24 34.44 17.64 28.84 28.54
10.74 17.44 13.64 9.94 13.64 13.94 25.94 32.24 28.24 16.04 20.54 7.04
9.04 12.44 5.74 7.24 13.94 21.44 13.54 24.24 35.24 18.04 25.44 18.44
11.74 12.34 10.94 11.84 25.54 53.74 20.94 50.54 51.94 47.24 8.74 13.04
24.14 14.14 17.84 21.04 18.04 58.24 9.24 22.74 28.14 18.64 21.04 30.84
8.84 13.34 12.24 25.04 10.94 44.54 39.14 18.04 48.84 25.44 6.54 14.54
18.34 11.54 9.94 13.74 17.34 18.74 38.24 23.34 38.74 16.64 21.24 17.84
17.14 19.24 12.44 11.24 17.74 23.54 19.84 55.84 49.54 25.34 17.04 58.74
9.94 12.44 47.34 21.54 10.84 15.54 21.54 58.14 37.74 19.74 27.14 9.84
18.14 28.04 10.64 14.44 25.24 44.94 24.54 36.84 22.34 21.74 30.64 10.44
8.64 14.14 28.14 10.44 29.44 33.54 26.04 21.84 9.74 47.04 37.74 21.54
22.44 16.14 17.34 13.94 9.54 49.24 44.94 76.04 76.74 30.14 12.74 27.44
11.14 9.64 24.84 28.34 19.34 33.84 57.24 67.54 46.64 27.34 20.94 15.04
9.94 10.94 19.94 25.24 26.14 34.24 32.24 50.84 7.84 25.24 9.14 25.64
22.82 12.82 11.92 16.62 10.82 16.72 28.52 32.22 32.42 41.22 22.92 20.12
12.62 11.02 9.92 29.72 13.82 25.12 47.02 17.22 34.42 17.62 28.82 28.52
10.72 17.42 13.62 9.92 13.62 13.92 25.92 32.22 28.22 16.02 20.52 7.02
9.02 12.42 5.72 7.22 13.92 21.42 13.52 24.22 35.22 18.02 25.42 18.42
11.72 12.32 10.92 11.82 25.52 53.72 20.92 50.52 51.92 47.22 8.72 13.02
24.12 14.12 17.82 21.02 18.02 58.22 9.22 22.72 28.12 18.62 21.02 30.82
8.82 13.32 12.22 25.02 10.92 44.52 39.12 18.02 48.82 25.42 6.52 14.52
18.32 11.52 9.92 13.72 17.32 18.72 38.22 23.32 38.72 16.62 21.22 17.82
17.12 19.22 12.42 11.22 17.72 23.52 19.82 55.82 49.52 25.32 17.02 58.72
9.92 12.42 47.32 21.52 10.82 15.52 21.52 58.12 37.72 19.72 27.12 9.82
18.12 28.02 10.62 14.42 25.22 44.92 24.52 36.82 22.32 21.72 30.62 10.42
8.62 14.12 28.12 10.42 29.42 33.52 26.02 21.82 9.72 47.02 37.72 21.52
22.42 16.12 17.32 13.92 9.52 49.22 44.92 76.02 76.72 30.12 12.72 27.42
11.12 9.62 24.82 28.32 19.32 33.82 57.22 67.52 46.62 27.32 20.92 15.02
9.92 10.92 19.92 25.22 26.12 34.22 32.22 50.82 7.82 25.22 9.12 25.62
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
15.46 14.46 16.46 16.46 18.46 33.46 35.46 37.46 35.46 28.46 21.46 20.46
5.26 6.26 10.06 10.86 8.06 22.26 27.86 45.66 25.66 26.56 20.66 7.06
18.26 5.06 6.36 10.86 13.96 35.96 28.76 37.46 35.46 28.46 21.46 20.46
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
15.47 14.47 16.47 16.47 18.47 33.47 35.47 37.47 35.47 28.47 21.47 20.47
5.27 6.27 10.07 10.87 8.07 22.27 27.87 45.67 25.67 26.57 20.67 7.07
18.27 5.07 6.37 10.87 13.97 35.97 28.77 37.47 35.47 28.47 21.47 20.47
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
11.71 16.71 17.01 35.51 33.31 11.01 61.21 57.01 39.01 27.61 23.31 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
8.91 13.61 4.11 11.41 26.01 36.11 26.01 15.01 26.01 29.41 9.01 10.91
14.61 7.91 10.61 11.41 20.31 24.61 55.71 82.71 29.31 25.71 13.61 29.41
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
14.61 13.61 15.61 15.61 17.61 32.61 34.61 36.61 34.61 27.61 20.61 19.61
11.86 10.06 28.36 11.56 22.96 22.36 58.36 9.66 42.66 37.86 20.46 5.76
26.16 19.86 15.36 22.06 22.96 24.26 33.56 21.16 25.36 30.06 12.46 8.06
11.46 24.16 16.76 15.76 15.36 20.06 66.46 24.46 24.36 32.36 33.36 12.66
14.66 28.16 30.36 9.66 31.46 79.96 23.36 41.66 36.46 42.96 9.06 27.06
24.76 4.16 14.76 11.96 17.56 52.16 20.76 24.56 29.96 25.66 7.36 18.26
15.26 8.86 6.56 13.16 34.36 52.76 59.16 23.86 49.06 24.66 18.36 27.46
18.36 18.06 14.66 21.56 12.46 22.56 13.66 48.16 40.36 22.86 36.46 21.26
8.26 10.06 21.16 17.66 12.96 32.56 56.86 43.96 23.46 39.06 5.36 28.46
12.36 12.46 10.76 18.16 10.76 36.46 35.66 24.16 27.76 11.16 25.36 25.46
8.56 2.66 9.66 6.76 13.36 42.06 81.66 40.96 45.16 31.76 19.16 12.86
14.56 8.16 5.66 15.76 8.46 22.66 41.86 47.86 31.06 32.66 36.16 25.96
27.96 15.06 6.46 9.76 22.16 9.56 9.56 53.16 26.86 24.76 16.96 14.46
17.46 23.96 19.86 10.86 15.26 30.56 34.56 56.86 26.76 39.96 24.86 10.06
10.66 6.86 16.76 15.86 12.76 23.86 25.86 46.96 40.16 17.56 31.66 18.16
8.26 9.06 7.56 16.66 21.96 27.66 36.66 11.66 29.06 21.86 19.06 21.96
22.86 12.86 11.96 16.66 10.86 16.76 28.56 32.26 32.46 41.26 22.96 20.16
12.66 11.06 9.96 29.76 13.86 25.16 47.06 17.26 34.46 17.66 28.86 28.56
10.76 17.46 13.66 9.96 13.66 13.96 25.96 32.26 28.26 16.06 20.56 7.06
9.06 12.46 5.76 7.26 13.96 21.46 13.56 24.26 35.26 18.06 25.46 18.46
11.76 12.36 10.96 11.86 25.56 53.76 20.96 50.56 51.96 47.26 8.76 13.06
24.16 14.16 17.86 21.06 18.06 58.26 9.26 22.76 28.16 18.66 21.06 30.86
8.86 13.36 12.26 25.06 10.96 44.56 39.16 18.06 48.86 25.46 6.56 14.56
18.36 11.56 9.96 13.76 17.36 18.76 38.26 23.36 38.76 16.66 21.26 17.86
17.16 19.26 12.46 11.26 17.76 23.56 19.86 55.86 49.56 25.36 17.06 58.76
9.96 12.46 47.36 21.56 10.86 15.56 21.56 58.16 37.76 19.76 27.16 9.86
18.16 28.06 10.66 14.46 25.26 44.96 24.56 36.86 22.36 21.76 30.66 10.46
8.66 14.16 28.16 10.46 29.46 33.56 26.06 21.86 9.76 47.06 37.76 21.56
22.46 16.16 17.36 13.96 9.56 49.26 44.96 76.06 76.76 30.16 12.76 27.46
11.16 9.66 24.86 28.36 19.36 33.86 57.26 67.56 46.66 27.36 20.96 15.06
9.96 10.96 19.96 25.26 26.16 34.26 32.26 50.86 7.86 25.26 9.16 25.66
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
14.68 13.68 15.68 15.68 17.68 32.68 34.68 36.68 34.68 27.68 20.68 19.68
11.78 16.78 17.08 35.58 33.38 11.08 61.28 57.08 39.08 27.68 23.38 19.68
