"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
20.48 10.48 9.58 14.28 8.48 14.38 26.18 29.88 30.08 38.88 20.58 17.78
10.28 8.68 7.58 27.38 11.48 22.78 44.68 14.88 32.08 15.28 26.48 26.18
8.38 15.08 11.28 7.58 11.28 11.58 23.58 29.88 25.88 13.68 18.18 4.68
6.68 10.08 3.38 4.88 11.58 19.08 11.18 21.88 32.88 15.68 23.08 16.08
9.38 9.98 8.58 9.48 23.18 51.38 18.58 48.18 49.58 44.88 6.38 10.68
21.78 11.78 15.48 18.68 15.68 55.88 6.88 20.38 25.78 16.28 18.68 28.48
6.48 10.98 9.88 22.68 8.58 42.18 36.78 15.68 46.48 23.08 4.18 12.18
15.98 9.18 7.58 11.38 14.98 16.38 35.88 20.98 36.38 14.28 18.88 15.48
14.78 16.88 10.08 8.88 15.38 21.18 17.48 53.48 47.18 22.98 14.68 56.38
7.58 10.08 44.98 19.18 8.48 13.18 19.18 55.78 35.38 17.38 24.78 7.48
15.78 25.68 8.28 12.08 22.88 42.58 22.18 34.48 19.98 19.38 28.28 8.08
6.28 11.78 25.78 8.08 27.08 31.18 23.68 19.48 7.38 44.68 35.38 19.18
20.08 13.78 14.98 11.58 7.18 46.88 42.58 73.68 74.38 27.78 10.38 25.08
8.78 7.28 22.48 25.98 16.98 31.48 54.88 65.18 44.28 24.98 18.58 12.68
7.58 8.58 17.58 22.88 23.78 31.88 29.88 48.48 5.48 22.88 6.78 23.28
11.86 10.86 12.86 12.86 14.86 29.86 31.86 33.86 31.86 24.86 17.86 16.86
11.86 10.86 12.86 12.86 14.86 29.86 31.86 33.86 31.86 24.86 17.86 16.86
11.86 7.66 2.16 4.96 12.26 27.96 8.46 24.26 31.86 24.86 17.86 16.86
6.16 8.16 3.26 4.26 10.06 35.56 10.86 31.36 5.76 35.36 11.66 4.56
8.56 15.76 2.46 3.96 6.06 41.56 97.26 42.36 14.56 20.86 13.26 3.76
0.56 4.26 6.06 6.46 18.96 47.46 29.66 29.36 29.56 33.66 15.96 20.06
13.36 9.26 4.36 6.86 13.06 21.26 31.26 85.06 22.96 35.06 10.56 5.26
6.56 8.16 5.46 7.96 11.76 16.76 40.16 53.96 20.16 15.16 9.86 6.16
5.06 8.76 8.26 7.06 6.36 47.16 34.06 59.16 66.56 19.26 12.76 17.46
13.96 5.96 10.16 17.86 24.46 42.96 23.26 39.26 34.66 27.86 10.66 5.16
1.96 5.86 1.16 22.56 19.46 63.36 64.56 58.76 41.56 46.96 22.96 0.56
27.76 20.06 2.16 9.26 19.26 44.66 80.56 62.66 41.96 20.36 8.16 12.96
11.66 13.86 2.56 12.86 25.86 21.06 31.76 79.56 52.26 18.06 6.96 9.06
14.86 5.26 5.96 12.56 24.76 26.06 27.66 48.86 38.16 36.86 20.26 14.56
12.66 13.76 10.56 9.36 23.26 25.76 29.56 43.76 29.56 22.86 14.36 18.16
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
9.39 14.39 14.69 33.19 30.99 8.69 58.89 54.69 36.69 25.29 20.99 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
6.59 11.29 1.79 9.09 23.69 33.79 23.69 12.69 23.69 27.09 6.69 8.59
12.29 5.59 8.29 9.09 17.99 22.29 53.39 80.39 26.99 23.39 11.29 27.09
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
12.29 11.29 13.29 13.29 15.29 30.29 32.29 34.29 32.29 25.29 18.29 17.29
