"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.73 -24.13 -20.43 -9.93 0.77 12.57 21.07 17.57 9.57 -3.93 -19.33 -23.43
-25.03 -24.63 -21.83 -9.03 0.57 12.27 20.37 17.47 9.57 -6.33 -18.93 -23.03
-27.93 -25.43 -17.83 -10.63 0.37 13.17 20.37 17.27 9.57 -4.63 -18.83 -19.93
-24.63 -23.13 -20.03 -9.73 0.87 12.57 20.07 18.07 9.57 -4.73 -18.73 -22.23
-26.23 -26.63 -19.83 -9.53 1.37 13.87 21.57 17.97 9.27 -5.73 -18.63 -24.03
-31.24 -26.14 -14.94 -9.54 -0.24 11.66 19.26 16.06 10.76 -4.14 -17.74 -26.24
-24.64 -22.44 -18.44 -8.34 -1.14 11.86 20.96 18.26 10.06 -4.34 -21.04 -27.34
-25.14 -24.34 -20.94 -12.44 -1.24 12.26 20.26 17.76 8.16 -3.24 -17.54 -25.54
-27.24 -16.04 -24.44 -12.94 -1.84 11.66 21.16 17.36 10.76 -4.34 -19.04 -21.64
-28.24 -28.94 -18.54 -9.24 -1.04 9.76 22.66 18.76 9.76 -4.04 -22.44 -23.14
-29.84 -31.64 -24.84 -13.14 0.56 11.66 19.66 16.96 9.56 -7.84 -21.14 -14.54
-26.74 -25.94 -18.54 -8.34 0.06 14.26 23.26 16.86 9.36 2.26 -10.54 -15.44
-24.94 -21.04 -11.84 -7.34 0.26 11.56 20.56 16.36 8.46 -4.94 -27.64 -27.84
-27.94 -31.44 -22.04 -11.94 0.66 13.36 22.96 17.56 7.36 -5.54 -14.24 -18.94
-25.94 -26.74 -18.24 -12.14 -1.84 11.66 21.86 15.16 9.46 -6.24 -16.54 -21.64
-27.04 -25.24 -19.04 -11.74 1.56 12.66 21.66 20.26 11.06 -4.54 -12.74 -18.94
-27.44 -24.74 -20.34 -7.84 -1.14 13.56 20.06 16.66 7.46 -3.94 -23.24 -23.74
-25.14 -20.24 -15.74 -11.14 1.06 11.86 20.56 18.56 9.66 -5.94 -20.84 -25.24
-30.74 -26.84 -16.64 -8.14 0.46 11.86 18.26 17.16 9.76 -9.74 -25.04 -23.14
-23.04 -23.54 -18.54 -8.64 2.36 14.96 21.16 17.16 10.56 -4.14 -17.74 -15.44
-20.98 -26.48 -19.58 -6.18 -0.48 12.62 18.52 16.02 9.72 -7.58 -19.08 -27.58
-24.98 -28.48 -22.68 -7.88 3.12 13.22 19.32 15.22 8.72 -10.08 -18.28 -24.28
-30.28 -22.88 -21.78 -10.88 0.22 12.72 21.12 17.62 8.92 -1.68 -12.18 -28.48
-34.58 -35.28 -23.68 -12.98 -1.28 15.02 22.42 16.32 8.32 -7.08 -20.28 -21.28
-27.38 -24.18 -20.78 -8.98 0.42 11.62 20.82 18.72 9.42 -1.48 -23.58 -20.98
-16.08 -22.88 -20.38 -7.98 -0.58 13.22 19.92 17.62 7.72 -6.88 -13.28 -21.18
-28.98 -21.28 -22.18 -6.28 -0.18 12.02 20.42 18.52 8.82 -10.48 -21.38 -22.18
-22.88 -22.48 -16.28 -12.68 0.52 13.12 19.52 18.92 10.72 -2.98 -11.38 -21.38
-19.58 -22.68 -19.08 -15.48 1.32 14.12 24.12 16.72 11.42 -4.68 -20.88 -20.58
-28.78 -25.28 -19.58 -9.98 -0.18 15.22 19.52 17.02 10.02 -2.18 -14.18 -21.08
-26.58 -21.78 -19.98 -12.08 0.52 12.42 22.02 16.42 8.32 -1.58 -15.38 -25.58
-30.38 -25.98 -21.38 -9.78 0.42 9.82 20.72 17.32 9.22 -3.48 -22.58 -24.68
-23.28 -24.08 -19.48 -14.18 1.92 14.02 19.62 16.52 10.02 -5.18 -17.68 -15.18
-26.28 -19.58 -15.98 -11.48 2.42 9.92 18.32 15.62 7.32 -5.18 -22.98 -20.98
-28.28 -23.68 -11.98 -5.78 2.92 15.62 20.92 16.92 9.42 -5.08 -23.28 -24.88
