"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.11 -26.51 -22.81 -12.31 -1.61 10.19 18.69 15.19 7.19 -6.31 -21.71 -25.81
-27.41 -27.01 -24.21 -11.41 -1.81 9.89 17.99 15.09 7.19 -8.71 -21.31 -25.41
-30.31 -27.81 -20.21 -13.01 -2.01 10.79 17.99 14.89 7.19 -7.01 -21.21 -22.31
-27.01 -25.51 -22.41 -12.11 -1.51 10.19 17.69 15.69 7.19 -7.11 -21.11 -24.61
-28.61 -29.01 -22.21 -11.91 -1.01 11.49 19.19 15.59 6.89 -8.11 -21.01 -26.41
-33.56 -28.46 -17.26 -11.86 -2.56 9.34 16.94 13.74 8.44 -6.46 -20.06 -28.56
-26.96 -24.76 -20.76 -10.66 -3.46 9.54 18.64 15.94 7.74 -6.66 -23.36 -29.66
-27.46 -26.66 -23.26 -14.76 -3.56 9.94 17.94 15.44 5.84 -5.56 -19.86 -27.86
-29.56 -18.36 -26.76 -15.26 -4.16 9.34 18.84 15.04 8.44 -6.66 -21.36 -23.96
-30.56 -31.26 -20.86 -11.56 -3.36 7.44 20.34 16.44 7.44 -6.36 -24.76 -25.46
-32.16 -33.96 -27.16 -15.46 -1.76 9.34 17.34 14.64 7.24 -10.16 -23.46 -16.86
-29.06 -28.26 -20.86 -10.66 -2.26 11.94 20.94 14.54 7.04 -0.06 -12.86 -17.76
-27.26 -23.36 -14.16 -9.66 -2.06 9.24 18.24 14.04 6.14 -7.26 -29.96 -30.16
-30.26 -33.76 -24.36 -14.26 -1.66 11.04 20.64 15.24 5.04 -7.86 -16.56 -21.26
-28.26 -29.06 -20.56 -14.46 -4.16 9.34 19.54 12.84 7.14 -8.56 -18.86 -23.96
-29.36 -27.56 -21.36 -14.06 -0.76 10.34 19.34 17.94 8.74 -6.86 -15.06 -21.26
-29.76 -27.06 -22.66 -10.16 -3.46 11.24 17.74 14.34 5.14 -6.26 -25.56 -26.06
-27.46 -22.56 -18.06 -13.46 -1.26 9.54 18.24 16.24 7.34 -8.26 -23.16 -27.56
-33.06 -29.16 -18.96 -10.46 -1.86 9.54 15.94 14.84 7.44 -12.06 -27.36 -25.46
-25.36 -25.86 -20.86 -10.96 0.04 12.64 18.84 14.84 8.24 -6.46 -20.06 -17.76
-23.34 -28.84 -21.94 -8.54 -2.84 10.26 16.16 13.66 7.36 -9.94 -21.44 -29.94
-27.34 -30.84 -25.04 -10.24 0.76 10.86 16.96 12.86 6.36 -12.44 -20.64 -26.64
-32.64 -25.24 -24.14 -13.24 -2.14 10.36 18.76 15.26 6.56 -4.04 -14.54 -30.84
-36.94 -37.64 -26.04 -15.34 -3.64 12.66 20.06 13.96 5.96 -9.44 -22.64 -23.64
-29.74 -26.54 -23.14 -11.34 -1.94 9.26 18.46 16.36 7.06 -3.84 -25.94 -23.34
-18.44 -25.24 -22.74 -10.34 -2.94 10.86 17.56 15.26 5.36 -9.24 -15.64 -23.54
-31.34 -23.64 -24.54 -8.64 -2.54 9.66 18.06 16.16 6.46 -12.84 -23.74 -24.54
-25.24 -24.84 -18.64 -15.04 -1.84 10.76 17.16 16.56 8.36 -5.34 -13.74 -23.74
-21.94 -25.04 -21.44 -17.84 -1.04 11.76 21.76 14.36 9.06 -7.04 -23.24 -22.94
-31.14 -27.64 -21.94 -12.34 -2.54 12.86 17.16 14.66 7.66 -4.54 -16.54 -23.44
-28.94 -24.14 -22.34 -14.44 -1.84 10.06 19.66 14.06 5.96 -3.94 -17.74 -27.94
-32.74 -28.34 -23.74 -12.14 -1.94 7.46 18.36 14.96 6.86 -5.84 -24.94 -27.04
-25.64 -26.44 -21.84 -16.54 -0.44 11.66 17.26 14.16 7.66 -7.54 -20.04 -17.54
-28.64 -21.94 -18.34 -13.84 0.06 7.56 15.96 13.26 4.96 -7.54 -25.34 -23.34
-30.64 -26.04 -14.34 -8.14 0.56 13.26 18.56 14.56 7.06 -7.44 -25.64 -27.24
-23.44 -28.94 -22.04 -8.64 -2.94 10.16 16.06 13.56 7.26 -10.04 -21.54 -30.04
-27.44 -30.94 -25.14 -10.34 0.66 10.76 16.86 12.76 6.26 -12.54 -20.74 -26.74
-32.74 -25.34 -24.24 -13.34 -2.24 10.26 18.66 15.16 6.46 -4.14 -14.64 -30.94
-37.04 -37.74 -26.14 -15.44 -3.74 12.56 19.96 13.86 5.86 -9.54 -22.74 -23.74
-29.84 -26.64 -23.24 -11.44 -2.04 9.16 18.36 16.26 6.96 -3.94 -26.04 -23.44
-18.54 -25.34 -22.84 -10.44 -3.04 10.76 17.46 15.16 5.26 -9.34 -15.74 -23.64
-31.44 -23.74 -24.64 -8.74 -2.64 9.56 17.96 16.06 6.36 -12.94 -23.84 -24.64
-25.34 -24.94 -18.74 -15.14 -1.94 10.66 17.06 16.46 8.26 -5.44 -13.84 -23.84
-22.04 -25.14 -21.54 -17.94 -1.14 11.66 21.66 14.26 8.96 -7.14 -23.34 -23.04
-31.24 -27.74 -22.04 -12.44 -2.64 12.76 17.06 14.56 7.56 -4.64 -16.64 -23.54
-29.04 -24.24 -22.44 -14.54 -1.94 9.96 19.56 13.96 5.86 -4.04 -17.84 -28.04
-32.84 -28.44 -23.84 -12.24 -2.04 7.36 18.26 14.86 6.76 -5.94 -25.04 -27.14
-25.74 -26.54 -21.94 -16.64 -0.54 11.56 17.16 14.06 7.56 -7.64 -20.14 -17.64
-28.74 -22.04 -18.44 -13.94 -0.04 7.46 15.86 13.16 4.86 -7.64 -25.44 -23.44
-30.74 -26.14 -14.44 -8.24 0.46 13.16 18.46 14.46 6.96 -7.54 -25.74 -27.34
-28.35 -27.25 -23.15 -13.05 -2.95 9.45 17.25 14.65 7.65 -6.75 -22.95 -27.95
-29.85 -29.95 -23.75 -13.65 -0.15 10.45 18.65 13.25 5.85 -9.25 -22.75 -22.95
-28.75 -25.95 -22.55 -12.95 -4.15 9.75 18.55 14.65 7.55 -8.25 -20.65 -25.55
-30.35 -29.75 -24.15 -12.65 -2.15 9.45 17.25 17.35 8.65 -4.55 -23.15 -26.75
-25.85 -23.05 -17.75 -12.85 -2.65 9.55 16.95 15.65 6.15 -8.15 -21.45 -27.75
-27.35 -26.75 -20.95 -13.15 -3.35 9.75 18.85 13.55 6.55 -5.35 -18.95 -25.95
-27.15 -32.25 -18.65 -13.65 -0.65 11.95 19.25 15.35 6.45 -8.45 -21.05 -23.75
-28.05 -25.45 -24.15 -13.55 -3.75 10.85 18.45 17.15 8.55 -6.05 -21.15 -24.65
-30.75 -25.35 -19.75 -13.55 -0.35 9.85 20.55 15.35 7.55 -5.05 -17.05 -24.65
-24.05 -26.05 -24.15 -12.85 -2.95 8.85 16.25 13.35 6.35 -6.05 -20.45 -25.75
-26.85 -30.15 -17.45 -11.75 -4.85 8.55 17.75 15.75 5.85 -5.25 -20.95 -25.15
-31.05 -22.75 -23.15 -12.25 0.75 10.85 16.05 14.25 8.15 -5.85 -24.55 -27.45
-27.45 -24.25 -23.95 -13.35 -2.45 9.95 18.85 16.35 7.55 -6.85 -18.65 -23.55
-31.25 -26.65 -22.15 -13.15 -3.55 8.45 20.55 14.15 8.25 -2.35 -18.15 -25.75
-21.95 -31.35 -22.45 -14.45 -1.55 10.85 18.45 12.45 6.15 -8.85 -13.15 -26.55
-28.33 -27.23 -23.13 -13.03 -2.93 9.47 17.27 14.67 7.67 -6.73 -22.93 -27.93
-29.83 -29.93 -23.73 -13.63 -0.13 10.47 18.67 13.27 5.87 -9.23 -22.73 -22.93
-28.73 -25.93 -22.53 -12.93 -4.13 9.77 18.57 14.67 7.57 -8.23 -20.63 -25.53
-30.33 -29.73 -24.13 -12.63 -2.13 9.47 17.27 17.37 8.67 -4.53 -23.13 -26.73
-25.83 -23.03 -17.73 -12.83 -2.63 9.57 16.97 15.67 6.17 -8.13 -21.43 -27.73
-27.33 -26.73 -20.93 -13.13 -3.33 9.77 18.87 13.57 6.57 -5.33 -18.93 -25.93
-27.13 -32.23 -18.63 -13.63 -0.63 11.97 19.27 15.37 6.47 -8.43 -21.03 -23.73
-28.03 -25.43 -24.13 -13.53 -3.73 10.87 18.47 17.17 8.57 -6.03 -21.13 -24.63
-30.73 -25.33 -19.73 -13.53 -0.33 9.87 20.57 15.37 7.57 -5.03 -17.03 -24.63
-24.03 -26.03 -24.13 -12.83 -2.93 8.87 16.27 13.37 6.37 -6.03 -20.43 -25.73
-26.83 -30.13 -17.43 -11.73 -4.83 8.57 17.77 15.77 5.87 -5.23 -20.93 -25.13
-31.03 -22.73 -23.13 -12.23 0.77 10.87 16.07 14.27 8.17 -5.83 -24.53 -27.43
-27.43 -24.23 -23.93 -13.33 -2.43 9.97 18.87 16.37 7.57 -6.83 -18.63 -23.53
-31.23 -26.63 -22.13 -13.13 -3.53 8.47 20.57 14.17 8.27 -2.33 -18.13 -25.73
-21.93 -31.33 -22.43 -14.43 -1.53 10.87 18.47 12.47 6.17 -8.83 -13.13 -26.53
-30.85 -25.25 -20.85 -13.35 -1.95 9.65 17.35 14.85 6.05 -7.95 -20.45 -26.35
-28.45 -26.85 -21.55 -13.25 -2.35 8.95 17.85 14.85 6.95 -8.35 -24.05 -25.75
-29.05 -24.15 -22.15 -12.85 -1.95 9.15 18.45 14.25 7.15 -6.85 -20.95 -26.05
-28.45 -28.45 -21.05 -12.15 -1.65 10.75 18.45 15.75 6.35 -6.15 -20.15 -24.95
-28.25 -25.35 -21.85 -12.45 -1.55 9.15 18.75 14.55 7.15 -7.15 -21.15 -24.55
-28.75 -26.75 -21.15 -11.75 -1.75 11.05 18.05 14.95 7.25 -6.45 -22.05 -23.25
