"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-28.85 -34.35 -27.45 -14.05 -8.35 4.75 10.65 8.15 1.85 -15.45 -26.95 -35.45
-32.85 -36.35 -30.55 -15.75 -4.75 5.35 11.45 7.35 0.85 -17.95 -26.15 -32.15
-38.15 -30.75 -29.65 -18.75 -7.65 4.85 13.25 9.75 1.05 -9.55 -20.05 -36.35
-42.45 -43.15 -31.55 -20.85 -9.15 7.15 14.55 8.45 0.45 -14.95 -28.15 -29.15
-35.25 -32.05 -28.65 -16.85 -7.45 3.75 12.95 10.85 1.55 -9.35 -31.45 -28.85
-23.95 -30.75 -28.25 -15.85 -8.45 5.35 12.05 9.75 -0.15 -14.75 -21.15 -29.05
-36.85 -29.15 -30.05 -14.15 -8.05 4.15 12.55 10.65 0.95 -18.35 -29.25 -30.05
-30.75 -30.35 -24.15 -20.55 -7.35 5.25 11.65 11.05 2.85 -10.85 -19.25 -29.25
-27.45 -30.55 -26.95 -23.35 -6.55 6.25 16.25 8.85 3.55 -12.55 -28.75 -28.45
-36.65 -33.15 -27.45 -17.85 -8.05 7.35 11.65 9.15 2.15 -10.05 -22.05 -28.95
-34.45 -29.65 -27.85 -19.95 -7.35 4.55 14.15 8.55 0.45 -9.45 -23.25 -33.45
-38.25 -33.85 -29.25 -17.65 -7.45 1.95 12.85 9.45 1.35 -11.35 -30.45 -32.55
-31.15 -31.95 -27.35 -22.05 -5.95 6.15 11.75 8.65 2.15 -13.05 -25.55 -23.05
-34.15 -27.45 -23.85 -19.35 -5.45 2.05 10.45 7.75 -0.55 -13.05 -30.85 -28.85
-36.15 -31.55 -19.85 -13.65 -4.95 7.75 13.05 9.05 1.55 -12.95 -31.15 -32.75
-39.26 -28.86 -29.66 -20.56 -8.46 3.54 11.24 9.04 1.94 -10.06 -24.86 -29.66
-33.26 -30.86 -28.36 -15.96 -6.66 5.04 13.44 9.24 2.74 -12.56 -29.06 -33.86
-29.16 -31.46 -29.76 -17.76 -11.86 1.24 9.74 8.74 -2.36 -12.26 -30.96 -32.06
-30.76 -20.86 -25.96 -19.86 -7.56 4.14 10.84 8.14 -0.46 -10.86 -25.36 -33.36
-36.86 -24.46 -32.06 -23.16 -3.96 5.04 11.64 9.04 0.74 -15.26 -27.76 -30.26
-40.56 -35.36 -28.46 -15.56 -7.06 3.34 13.14 7.64 3.64 -12.36 -27.66 -26.36
-25.56 -29.36 -34.36 -19.56 -5.76 4.64 11.74 5.64 1.24 -13.66 -24.66 -30.66
-27.46 -33.46 -25.46 -14.66 -6.86 5.04 11.34 9.54 2.34 -15.16 -23.16 -30.26
-37.26 -28.16 -27.46 -20.36 -10.06 5.34 11.44 8.64 0.44 -12.86 -26.56 -23.86
-36.66 -30.76 -29.46 -18.06 -7.76 5.94 10.94 8.04 0.64 -16.16 -27.76 -37.26
-40.36 -37.96 -33.86 -22.36 -6.26 7.74 14.04 9.54 1.24 -9.86 -29.06 -35.36
-27.76 -32.86 -35.16 -21.46 -5.56 5.64 12.74 8.04 2.04 -14.16 -28.46 -24.66
-34.66 -26.96 -23.56 -10.86 -5.36 5.74 10.94 9.04 1.84 -9.86 -26.06 -35.16
-29.16 -30.76 -26.36 -17.86 -7.66 2.54 11.34 8.04 1.64 -12.86 -25.56 -28.26
-32.66 -30.26 -31.16 -16.76 -6.46 7.84 12.64 9.64 2.44 -9.46 -28.46 -33.56
-36.38 -30.78 -26.38 -18.88 -7.48 4.12 11.82 9.32 0.52 -13.48 -25.98 -31.88
-33.98 -32.38 -27.08 -18.78 -7.88 3.42 12.32 9.32 1.42 -13.88 -29.58 -31.28
-34.58 -29.68 -27.68 -18.38 -7.48 3.62 12.92 8.72 1.62 -12.38 -26.48 -31.58
-33.98 -33.98 -26.58 -17.68 -7.18 5.22 12.92 10.22 0.82 -11.68 -25.68 -30.48
-33.78 -30.88 -27.38 -17.98 -7.08 3.62 13.22 9.02 1.62 -12.68 -26.68 -30.08
-34.28 -32.28 -26.68 -17.28 -7.28 5.52 12.52 9.42 1.72 -11.98 -27.58 -28.78
-34.28 -32.58 -27.08 -17.98 -7.48 4.82 12.82 9.42 1.52 -12.68 -26.68 -30.08
-34.28 -32.58 -27.08 -17.98 -7.08 5.72 13.02 9.82 1.62 -12.28 -26.88 -32.68
-35.98 -31.18 -28.78 -19.08 -8.48 4.62 13.22 9.42 1.02 -12.88 -25.98 -30.28
-34.38 -30.38 -28.88 -19.18 -7.28 4.42 12.72 9.62 1.72 -13.08 -28.38 -32.38
-34.78 -32.18 -28.48 -17.98 -7.28 4.52 13.02 9.52 1.52 -11.98 -27.38 -31.48
-33.08 -32.68 -29.88 -17.08 -7.48 4.22 12.32 9.42 1.52 -14.38 -26.98 -31.08
-35.98 -33.48 -25.88 -18.68 -7.68 5.12 12.32 9.22 1.52 -12.68 -26.88 -27.98
-32.68 -31.18 -28.08 -17.78 -7.18 4.52 12.02 10.02 1.52 -12.78 -26.78 -30.28
-34.28 -34.68 -27.88 -17.58 -6.68 5.82 13.52 9.92 1.22 -13.78 -26.68 -32.08
-35.8 -35.5 -27.2 -15.9 -7.5 4.7 13.6 8.1 -1 -11.5 -28.6 -35.3
