"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
21.51 10.81 9.51 13.61 8.51 14.51 25.61 28.41 28.71 40.61 18.71 19.31
10.01 9.51 7.71 28.21 10.51 22.91 45.31 15.11 30.81 15.71 24.81 29.41
8.31 16.21 10.71 7.21 11.31 11.61 22.31 28.31 26.41 13.51 17.11 4.71
6.31 11.11 3.21 4.91 11.11 19.21 11.41 21.61 33.91 15.71 20.71 16.71
9.21 10.81 8.81 9.21 24.11 50.61 16.51 47.71 48.61 45.71 5.71 10.71
21.51 12.21 15.71 19.21 15.51 53.51 6.31 20.81 25.51 13.81 17.11 28.91
6.21 11.81 9.51 22.61 7.61 43.81 37.01 14.21 47.11 23.81 4.21 13.01
16.01 9.81 7.71 11.01 15.21 15.61 35.11 17.81 34.71 13.41 18.01 15.81
15.11 17.21 9.71 9.11 15.81 20.61 16.81 53.21 49.11 24.01 14.01 62.11
7.31 10.41 46.11 18.81 8.21 13.11 17.91 54.91 36.91 17.71 23.71 8.01
15.81 28.11 8.31 11.81 21.71 43.11 21.21 32.41 20.11 19.71 26.51 8.51
6.21 12.11 26.31 8.41 27.21 32.41 23.21 18.61 7.41 44.41 35.81 19.31
19.81 15.01 14.71 11.51 7.01 45.11 41.81 66.31 76.11 28.71 9.61 25.81
8.31 7.51 22.11 26.81 17.01 30.91 53.41 62.81 44.11 24.11 17.11 12.91
7.81 9.11 18.01 23.91 23.71 32.01 31.01 46.41 4.81 23.01 6.41 24.11
12.03 12.03 13.03 13.03 15.03 30.03 31.03 33.03 32.03 25.03 17.03 18.03
12.03 12.03 13.03 13.03 15.03 30.03 31.03 33.03 32.03 25.03 17.03 18.03
12.03 8.63 2.23 4.83 11.53 28.53 8.73 22.73 32.03 25.03 17.03 18.03
6.43 9.03 3.63 4.23 10.33 34.53 9.13 29.13 5.83 33.23 10.93 5.23
8.53 16.03 2.43 4.03 6.23 41.23 94.13 40.53 15.03 21.43 12.03 4.53
0.83 5.03 5.73 6.43 19.83 42.63 29.63 29.83 30.23 31.33 15.73 20.43
13.13 8.73 4.43 6.73 11.43 21.13 32.13 82.13 21.83 33.53 9.63 5.43
6.63 8.93 5.53 7.73 11.23 18.13 39.23 53.53 20.33 15.63 8.73 7.03
5.33 9.73 8.23 6.53 6.13 48.03 34.03 50.73 66.43 20.13 11.23 19.13
14.63 7.03 10.43 18.63 25.03 44.73 25.03 37.03 36.23 28.73 9.83 5.33
1.83 6.73 1.53 24.23 21.23 62.53 61.73 57.03 41.03 47.63 21.83 0.93
29.63 23.23 2.53 10.03 20.33 44.73 80.93 63.53 43.23 20.63 7.93 14.23
11.13 13.93 2.53 12.53 26.53 22.63 28.83 78.53 52.73 17.73 6.33 9.03
14.43 5.83 5.93 11.93 24.63 27.03 27.83 43.73 36.73 33.83 18.73 16.33
12.63 14.33 11.33 10.33 21.13 27.03 29.23 40.03 30.33 23.63 14.33 18.93
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
9.37 15.57 14.67 32.97 30.87 8.77 56.87 52.97 36.67 25.27 19.77 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
6.67 12.27 1.87 9.17 23.67 33.67 23.07 12.47 23.77 27.07 6.37 9.17
12.27 6.07 8.27 9.17 17.97 22.27 51.57 77.67 27.07 23.37 10.67 28.57
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
12.27 12.27 13.27 13.27 15.27 30.27 31.27 33.27 32.27 25.27 17.27 18.27
