"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.32 -28.02 -24.12 -13.92 -3.22 8.88 17.18 13.68 5.88 -8.02 -23.02 -26.92
-29.12 -28.42 -25.12 -13.22 -3.32 8.68 16.58 13.68 5.88 -9.82 -22.72 -26.52
-31.32 -29.02 -22.12 -14.42 -3.52 9.28 16.58 13.48 5.88 -8.52 -22.72 -24.22
-28.82 -27.22 -23.82 -13.82 -3.12 8.88 16.38 14.08 5.88 -8.52 -22.62 -26.02
-30.02 -29.92 -23.62 -13.62 -2.72 9.88 17.48 14.08 5.68 -9.32 -22.52 -27.32
-34.89 -29.99 -19.29 -13.69 -4.09 8.11 15.51 12.31 7.21 -7.69 -21.39 -29.39
-28.39 -26.39 -22.29 -12.19 -4.89 8.11 16.91 14.51 6.21 -8.09 -24.69 -31.19
-29.09 -28.39 -24.99 -16.39 -5.19 8.41 16.41 13.91 4.41 -7.39 -21.39 -29.19
-31.19 -19.59 -28.29 -16.79 -5.69 8.01 17.31 13.51 6.91 -8.29 -22.69 -25.49
-32.09 -32.69 -22.59 -13.29 -4.99 6.11 18.91 15.01 6.21 -8.09 -25.69 -26.99
-33.69 -35.09 -28.89 -16.99 -3.39 7.91 15.81 13.41 5.71 -11.59 -24.59 -17.99
-30.79 -29.89 -22.69 -12.39 -3.69 10.31 19.11 13.21 5.71 -1.79 -14.19 -19.39
-28.59 -24.79 -15.99 -11.19 -3.49 8.01 16.61 12.71 4.91 -8.79 -31.09 -31.19
-31.19 -34.69 -25.99 -15.79 -3.19 9.81 19.11 13.91 3.71 -9.19 -18.29 -22.59
-29.59 -30.39 -22.09 -16.29 -5.59 8.01 18.01 11.51 5.71 -10.09 -20.49 -25.49
-30.89 -28.69 -22.79 -15.49 -2.19 8.91 18.01 16.61 7.51 -8.49 -16.99 -22.59
-31.09 -28.19 -24.29 -11.79 -5.09 9.41 16.21 12.91 3.91 -7.69 -27.09 -27.29
-28.79 -24.19 -19.59 -15.09 -2.69 8.31 16.81 14.81 6.01 -9.99 -25.09 -29.19
-33.89 -30.39 -20.29 -11.99 -3.19 8.31 14.51 13.41 6.11 -13.39 -28.39 -27.29
-27.19 -27.49 -22.39 -12.49 -1.39 11.21 17.41 13.41 7.01 -7.89 -21.29 -19.09
-24.7 -30.2 -23.3 -9.8 -4.4 8.8 14.6 12.3 6.2 -11.1 -22.9 -31
-28.5 -31.9 -26.6 -11.8 -0.6 9.5 15.6 11.5 5 -13.7 -22.7 -27.9
-34.3 -27.4 -25.7 -14.8 -3.8 9.1 17.2 13.9 5.4 -5.7 -16.3 -32.4
-38.1 -38.9 -27.6 -17.1 -5.2 11 18.5 12.6 4.6 -10.9 -24.3 -24.9
-31 -27.9 -24.4 -12.9 -3.1 7.8 17 15 5.7 -5.4 -27.6 -24.5
-20 -26.6 -24.5 -12.1 -4.4 9.5 16.1 13.8 4.1 -10.6 -17.1 -25.3
-32.6 -25.1 -26 -10.3 -4.1 8.1 16.7 14.8 5.3 -14.2 -25.5 -26.4
-26.8 -26.5 -20.3 -16.6 -3.1 9.3 15.8 15.2 7 -6.8 -15.3 -25.5
