"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.56 -32.26 -28.36 -18.16 -7.46 4.64 12.94 9.44 1.64 -12.26 -27.26 -31.16
-33.36 -32.66 -29.36 -17.46 -7.56 4.44 12.34 9.44 1.64 -14.06 -26.96 -30.76
-35.56 -33.26 -26.36 -18.66 -7.76 5.04 12.34 9.24 1.64 -12.76 -26.96 -28.46
-33.06 -31.46 -28.06 -18.06 -7.36 4.64 12.14 9.84 1.64 -12.76 -26.86 -30.26
-34.26 -34.16 -27.86 -17.86 -6.96 5.64 13.24 9.84 1.44 -13.56 -26.76 -31.56
-35.97 -31.37 -26.87 -18.97 -7.67 4.13 11.93 9.23 0.83 -13.47 -26.27 -31.57
-34.17 -32.57 -27.37 -18.87 -7.97 3.63 12.23 9.23 1.43 -13.77 -29.07 -31.07
-34.57 -30.47 -27.77 -18.57 -7.67 3.83 12.73 8.73 1.63 -12.67 -26.67 -31.27
-34.17 -33.77 -26.97 -18.07 -7.47 5.03 12.73 9.93 1.03 -12.07 -26.07 -30.47
-33.97 -31.47 -27.57 -18.27 -7.37 3.83 12.93 9.03 1.63 -12.87 -26.87 -30.17
-34.37 -32.47 -27.07 -17.67 -7.57 5.23 12.43 9.33 1.73 -12.37 -27.57 -29.17
-34.37 -32.67 -27.37 -18.27 -7.67 4.73 12.63 9.33 1.53 -12.87 -26.87 -30.17
-34.37 -32.67 -27.37 -18.27 -7.37 5.43 12.83 9.63 1.63 -12.57 -26.97 -32.07
-35.67 -31.57 -28.67 -19.17 -8.37 4.63 12.93 9.33 1.13 -12.97 -26.37 -30.37
-34.47 -30.97 -28.77 -19.17 -7.57 4.43 12.53 9.53 1.63 -13.17 -28.17 -31.97
-34.67 -32.37 -28.47 -18.27 -7.57 4.53 12.83 9.33 1.53 -12.37 -27.37 -31.27
-33.47 -32.77 -29.47 -17.57 -7.67 4.33 12.23 9.33 1.53 -14.17 -27.07 -30.87
-35.67 -33.37 -26.47 -18.77 -7.87 4.93 12.23 9.13 1.53 -12.87 -27.07 -28.57
-33.17 -31.57 -28.17 -18.17 -7.47 4.53 12.03 9.73 1.53 -12.87 -26.97 -30.37
-34.37 -34.27 -27.97 -17.97 -7.07 5.53 13.13 9.73 1.33 -13.67 -26.87 -31.67
-34.09 -32.89 -28.69 -18.79 -8.59 4.01 11.71 9.01 1.91 -12.69 -28.39 -32.79
-35.59 -36.09 -29.79 -19.59 -5.69 4.81 13.01 7.51 0.11 -15.19 -28.59 -28.39
-34.79 -31.49 -28.49 -18.69 -9.99 4.11 12.81 9.01 2.01 -13.99 -26.29 -30.79
-35.79 -35.59 -30.29 -18.39 -7.79 3.81 11.41 11.81 3.21 -10.19 -28.89 -32.49
-31.29 -28.49 -23.39 -18.69 -8.49 3.91 11.11 10.21 0.71 -13.79 -27.19 -32.69
-33.39 -32.59 -26.99 -18.89 -8.79 4.21 13.01 7.81 0.91 -10.89 -24.39 -31.59
-32.49 -37.99 -24.39 -19.49 -6.29 6.31 13.51 9.71 0.91 -14.29 -26.59 -29.29
-33.39 -30.99 -30.09 -19.39 -9.59 5.21 12.71 11.71 3.11 -11.59 -26.69 -30.29
-36.49 -30.69 -25.49 -19.49 -5.99 4.31 15.11 9.81 2.01 -10.69 -22.59 -30.29
-29.59 -31.59 -29.99 -18.69 -8.59 3.21 10.41 7.51 0.71 -11.79 -26.29 -31.39
-32.49 -36.09 -23.09 -17.69 -10.59 2.91 11.91 10.01 0.21 -10.89 -26.69 -30.79
