"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.56 14.56 16.56 15.56 18.56 34.56 35.56 38.56 35.56 27.56 21.56 20.56
14.56 14.56 16.56 15.56 18.56 34.56 35.56 38.56 35.56 27.56 21.56 20.56
14.56 14.56 16.56 15.56 18.56 34.56 35.56 38.56 35.56 27.56 21.56 20.56
14.56 14.56 16.56 15.56 18.56 34.56 35.56 38.56 35.56 27.56 21.56 20.56
14.56 14.56 16.56 15.56 18.56 34.56 35.56 38.56 35.56 27.56 21.56 20.56
12.91 12.11 28.71 12.41 22.81 24.61 58.11 11.61 44.21 37.41 21.91 6.71
24.21 21.11 15.71 20.61 24.31 26.91 35.11 21.21 25.11 29.61 13.91 11.31
12.61 24.41 16.91 15.71 16.01 24.71 67.01 27.21 25.91 31.41 33.51 13.41
13.91 28.31 31.11 9.61 31.61 81.41 24.91 42.41 35.81 40.71 11.31 28.51
24.51 5.61 15.41 12.81 18.71 54.21 21.31 29.81 33.01 26.21 9.11 20.01
15.21 10.61 8.91 13.21 33.61 54.51 59.11 28.61 50.31 26.31 20.61 29.81
17.61 18.21 15.81 20.71 13.21 28.01 14.81 50.11 40.81 22.31 35.61 21.91
8.61 10.41 21.71 18.51 14.71 34.61 56.61 45.31 26.41 37.81 6.31 28.71
12.01 12.71 11.61 17.51 11.21 37.21 34.81 25.01 28.91 12.11 27.21 25.91
9.31 4.41 10.01 8.91 14.51 44.11 81.51 46.31 44.61 30.81 19.61 13.71
13.81 9.21 7.01 15.71 9.51 23.61 41.81 46.61 32.31 31.41 35.51 26.21
25.61 15.21 7.31 11.21 23.11 10.51 11.01 56.11 29.01 25.61 17.61 15.81
16.51 24.21 20.11 10.51 16.91 34.91 35.01 56.01 28.71 38.41 24.71 11.61
11.11 8.71 17.71 15.51 14.21 27.71 27.91 48.41 39.31 19.61 30.31 19.71
9.91 9.71 9.31 15.81 23.21 30.41 37.31 16.41 28.81 23.41 19.71 22.01
20.92 13.62 13.02 16.32 12.52 18.72 30.62 36.32 33.22 40.72 25.52 20.42
13.32 11.82 11.02 27.52 15.12 26.82 47.12 17.72 35.52 18.72 30.12 27.92
11.42 18.12 14.92 10.82 14.42 16.02 28.32 34.62 28.32 17.22 20.72 8.62
10.22 13.82 8.22 7.92 16.72 22.32 14.32 25.82 36.22 18.72 27.32 22.32
11.52 13.32 12.52 12.12 25.92 53.42 25.72 49.72 52.02 44.22 11.32 14.02
22.72 15.72 18.22 20.32 19.52 60.02 10.52 24.52 31.52 20.72 22.12 31.52
9.12 14.72 13.62 23.92 11.82 44.92 37.42 20.52 51.82 26.02 7.52 16.62
18.02 12.02 11.32 14.12 18.42 19.72 38.02 26.52 39.02 17.82 22.22 18.72
16.82 20.72 12.92 11.52 18.52 25.22 20.62 56.52 47.52 24.42 17.32 55.92
10.32 13.22 46.12 20.72 12.12 17.82 25.72 58.42 39.12 19.92 27.82 10.92
18.32 28.12 12.02 14.42 25.42 44.92 28.72 39.72 24.92 21.62 31.02 11.12
9.62 15.12 28.12 10.52 29.12 35.02 27.02 24.02 10.22 44.52 36.12 22.22
21.82 16.62 18.12 14.42 10.32 50.72 45.62 80.52 73.82 29.02 13.42 27.02
11.22 10.52 25.62 27.12 20.52 35.32 57.02 67.92 47.12 28.52 23.32 16.32
10.52 12.12 21.82 24.22 26.52 36.12 31.52 50.62 10.92 25.42 10.42 25.92
20.88 13.58 12.98 16.28 12.48 18.68 30.58 36.28 33.18 40.68 25.48 20.38
13.28 11.78 10.98 27.48 15.08 26.78 47.08 17.68 35.48 18.68 30.08 27.88
11.38 18.08 14.88 10.78 14.38 15.98 28.28 34.58 28.28 17.18 20.68 8.58
10.18 13.78 8.18 7.88 16.68 22.28 14.28 25.78 36.18 18.68 27.28 22.28
11.48 13.28 12.48 12.08 25.88 53.38 25.68 49.68 51.98 44.18 11.28 13.98
22.68 15.68 18.18 20.28 19.48 59.98 10.48 24.48 31.48 20.68 22.08 31.48
9.08 14.68 13.58 23.88 11.78 44.88 37.38 20.48 51.78 25.98 7.48 16.58
17.98 11.98 11.28 14.08 18.38 19.68 37.98 26.48 38.98 17.78 22.18 18.68
16.78 20.68 12.88 11.48 18.48 25.18 20.58 56.48 47.48 24.38 17.28 55.88
10.28 13.18 46.08 20.68 12.08 17.78 25.68 58.38 39.08 19.88 27.78 10.88
18.28 28.08 11.98 14.38 25.38 44.88 28.68 39.68 24.88 21.58 30.98 11.08
9.58 15.08 28.08 10.48 29.08 34.98 26.98 23.98 10.18 44.48 36.08 22.18
21.78 16.58 18.08 14.38 10.28 50.68 45.58 80.48 73.78 28.98 13.38 26.98
11.18 10.48 25.58 27.08 20.48 35.28 56.98 67.88 47.08 28.48 23.28 16.28
10.48 12.08 21.78 24.18 26.48 36.08 31.48 50.58 10.88 25.38 10.38 25.88
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
15.21 15.21 17.21 16.21 19.21 35.21 36.21 39.21 36.21 28.21 22.21 21.21
