"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
17.76 10.46 9.86 13.16 9.36 15.56 27.46 33.16 30.06 37.56 22.36 17.26
10.16 8.66 7.86 24.36 11.96 23.66 43.96 14.56 32.36 15.56 26.96 24.76
8.26 14.96 11.76 7.66 11.26 12.86 25.16 31.46 25.16 14.06 17.56 5.46
7.06 10.66 5.06 4.76 13.56 19.16 11.16 22.66 33.06 15.56 24.16 19.16
8.36 10.16 9.36 8.96 22.76 50.26 22.56 46.56 48.86 41.06 8.16 10.86
19.56 12.56 15.06 17.16 16.36 56.86 7.36 21.36 28.36 17.56 18.96 28.36
5.96 11.56 10.46 20.76 8.66 41.76 34.26 17.36 48.66 22.86 4.36 13.46
14.86 8.86 8.16 10.96 15.26 16.56 34.86 23.36 35.86 14.66 19.06 15.56
13.66 17.56 9.76 8.36 15.36 22.06 17.46 53.36 44.36 21.26 14.16 52.76
7.16 10.06 42.96 17.56 8.96 14.66 22.56 55.26 35.96 16.76 24.66 7.76
15.16 24.96 8.86 11.26 22.26 41.76 25.56 36.56 21.76 18.46 27.86 7.96
6.46 11.96 24.96 7.36 25.96 31.86 23.86 20.86 7.06 41.36 32.96 19.06
18.66 13.46 14.96 11.26 7.16 47.56 42.46 77.36 70.66 25.86 10.26 23.86
8.06 7.36 22.46 23.96 17.36 32.16 53.86 64.76 43.96 25.36 20.16 13.16
7.36 8.96 18.66 21.06 23.36 32.96 28.36 47.46 7.76 22.26 7.26 22.76
10.74 10.74 12.74 11.74 14.74 30.74 31.74 34.74 31.74 23.74 17.74 16.74
10.74 10.74 12.74 11.74 14.74 30.74 31.74 34.74 31.74 23.74 17.74 16.74
10.74 7.54 2.04 4.64 12.64 28.54 8.14 25.44 31.74 23.74 17.74 16.74
5.54 8.04 3.04 3.84 9.84 37.34 11.74 33.14 5.84 35.04 11.84 4.44
7.84 16.24 2.44 3.54 5.94 43.04 97.04 43.94 14.34 19.64 13.54 3.44
0.34 4.04 6.24 5.94 18.44 52.64 28.74 29.44 29.24 34.04 15.54 20.44
12.34 9.94 4.34 6.34 13.94 22.04 30.24 87.84 23.54 34.54 10.84 5.44
5.84 8.14 5.34 7.34 11.84 16.14 39.74 54.54 20.14 14.34 10.24 5.94
4.54 8.64 8.24 6.74 6.54 48.24 33.54 65.84 66.54 18.04 13.24 17.04
12.54 5.74 10.14 16.14 24.14 43.34 21.34 40.74 33.64 26.24 10.74 5.34
1.94 6.34 1.04 19.84 17.74 63.74 68.74 57.74 43.14 41.54 23.74 0.84
25.04 20.64 2.64 8.04 18.14 46.14 75.84 61.84 40.34 21.74 9.34 14.34
11.54 14.34 4.14 12.04 25.54 21.74 36.84 77.74 48.84 18.54 8.14 9.44
13.84 5.14 5.84 11.84 23.94 26.24 30.34 51.74 37.64 37.24 19.44 13.94
11.74 14.24 9.94 9.64 25.14 25.94 30.94 46.54 28.94 20.64 17.44 18.44
11.37 11.37 13.37 12.37 15.37 31.37 32.37 35.37 32.37 24.37 18.37 17.37
11.37 11.37 13.37 12.37 15.37 31.37 32.37 35.37 32.37 24.37 18.37 17.37
11.37 11.37 13.37 12.37 15.37 31.37 32.37 35.37 32.37 24.37 18.37 17.37
11.37 11.37 13.37 12.37 15.37 31.37 32.37 35.37 32.37 24.37 18.37 17.37
