"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.08 -27.18 -23.78 -12.68 -2.08 9.52 18.02 14.42 6.42 -6.98 -22.58 -27.18
-27.98 -27.88 -25.48 -11.68 -2.28 9.12 17.12 14.32 6.42 -9.98 -22.08 -26.58
-31.58 -28.88 -20.48 -13.58 -2.58 10.22 17.12 14.02 6.42 -7.78 -22.08 -22.68
-27.48 -25.88 -23.28 -12.58 -1.88 9.42 16.72 15.02 6.52 -7.88 -21.88 -25.68
-29.48 -30.28 -22.88 -12.28 -1.28 11.12 18.62 14.92 6.12 -9.18 -21.78 -27.88
-34.69 -29.29 -17.69 -12.49 -2.99 8.41 15.91 12.71 7.71 -7.59 -20.89 -29.89
-27.29 -25.19 -21.59 -11.29 -3.99 8.81 17.71 15.21 6.91 -7.39 -24.59 -30.89
-27.89 -26.59 -23.19 -15.39 -4.09 9.21 17.11 14.71 5.31 -6.09 -20.29 -28.89
-29.89 -19.29 -27.39 -15.89 -4.59 8.51 18.21 14.31 7.71 -7.49 -22.29 -25.09
-31.59 -32.29 -21.29 -12.09 -3.69 6.51 19.31 15.61 6.51 -7.09 -26.09 -26.29
-32.89 -35.29 -27.89 -16.09 -1.99 8.71 16.41 13.71 6.41 -10.69 -24.69 -18.19
-29.49 -28.69 -21.59 -10.99 -2.79 11.31 20.41 13.61 6.11 -0.59 -13.79 -18.69
-28.49 -24.19 -14.59 -9.99 -2.69 8.41 17.51 13.11 5.31 -7.89 -31.09 -31.19
-31.59 -35.09 -24.89 -14.89 -2.09 10.31 20.01 14.51 4.11 -8.79 -17.39 -22.49
-28.99 -30.09 -21.29 -14.89 -4.69 8.41 18.91 11.91 6.41 -9.49 -19.69 -24.89
-29.99 -28.69 -22.09 -14.59 -1.39 9.71 18.61 17.21 7.81 -7.59 -15.39 -22.29
-31.19 -28.19 -23.49 -10.69 -3.99 10.61 16.91 13.41 4.01 -7.09 -26.49 -27.19
-28.19 -23.29 -18.79 -14.39 -1.89 8.71 17.41 15.41 6.71 -8.79 -23.89 -28.39
-34.29 -30.29 -19.69 -11.09 -2.69 8.61 14.81 14.11 6.61 -13.29 -28.59 -26.79
-26.09 -26.69 -21.29 -11.59 -0.39 12.11 18.01 13.91 7.31 -7.19 -20.89 -18.59
-24.74 -29.94 -23.14 -9.14 -3.44 9.66 15.26 12.66 6.56 -10.94 -22.34 -31.14
-28.54 -31.74 -25.64 -10.74 0.26 10.06 15.96 11.96 5.46 -13.44 -21.44 -27.94
-33.64 -25.14 -24.54 -13.64 -2.54 9.56 18.06 14.56 5.56 -4.84 -14.94 -31.94
-38.14 -38.54 -26.64 -15.64 -4.24 12.26 19.26 13.16 5.16 -10.44 -23.34 -24.54
-30.84 -27.54 -24.14 -11.94 -2.74 8.46 17.76 15.86 6.36 -4.54 -26.74 -24.14
-18.84 -26.04 -23.14 -10.54 -3.44 10.26 16.76 14.36 4.56 -10.04 -16.64 -24.14
-32.34 -23.94 -25.44 -9.24 -3.04 8.96 17.16 15.36 5.46 -13.84 -24.64 -25.64
-26.14 -25.64 -19.24 -15.64 -2.34 10.26 16.26 15.66 7.66 -6.14 -14.24 -24.54
-23.14 -26.34 -22.34 -18.34 -1.24 11.16 21.16 13.56 8.16 -8.14 -24.34 -24.14
-32.24 -28.94 -22.74 -12.64 -2.94 12.36 16.26 13.76 6.66 -5.44 -17.44 -24.94
-29.74 -24.24 -23.24 -14.94 -2.44 9.36 18.96 13.46 5.36 -4.64 -18.44 -28.84
-33.74 -28.84 -24.34 -12.94 -2.54 6.46 17.56 14.16 6.16 -6.84 -26.24 -28.04
-26.44 -27.64 -22.34 -16.94 -1.04 11.06 16.36 13.36 7.26 -7.94 -20.34 -18.14
-29.14 -22.34 -18.64 -14.34 -0.54 6.56 14.96 12.36 3.96 -8.24 -25.84 -24.04
-31.94 -26.94 -14.34 -8.84 0.16 12.76 17.86 13.66 6.26 -8.04 -26.44 -27.94
-24.9 -30.1 -23.3 -9.3 -3.6 9.5 15.1 12.5 6.4 -11.1 -22.5 -31.3
-28.7 -31.9 -25.8 -10.9 0.1 9.9 15.8 11.8 5.3 -13.6 -21.6 -28.1
-33.8 -25.3 -24.7 -13.8 -2.7 9.4 17.9 14.4 5.4 -5 -15.1 -32.1
-38.3 -38.7 -26.8 -15.8 -4.4 12.1 19.1 13 5 -10.6 -23.5 -24.7
-31 -27.7 -24.3 -12.1 -2.9 8.3 17.6 15.7 6.2 -4.7 -26.9 -24.3
-19 -26.2 -23.3 -10.7 -3.6 10.1 16.6 14.2 4.4 -10.2 -16.8 -24.3
-32.5 -24.1 -25.6 -9.4 -3.2 8.8 17 15.2 5.3 -14 -24.8 -25.8
-26.3 -25.8 -19.4 -15.8 -2.5 10.1 16.1 15.5 7.5 -6.3 -14.4 -24.7
-23.3 -26.5 -22.5 -18.5 -1.4 11 21 13.4 8 -8.3 -24.5 -24.3
-32.4 -29.1 -22.9 -12.8 -3.1 12.2 16.1 13.6 6.5 -5.6 -17.6 -25.1
-29.9 -24.4 -23.4 -15.1 -2.6 9.2 18.8 13.3 5.2 -4.8 -18.6 -29
-33.9 -29 -24.5 -13.1 -2.7 6.3 17.4 14 6 -7 -26.4 -28.2
-26.6 -27.8 -22.5 -17.1 -1.2 10.9 16.2 13.2 7.1 -8.1 -20.5 -18.3
-29.3 -22.5 -18.8 -14.5 -0.7 6.4 14.8 12.2 3.8 -8.4 -26 -24.2
-32.1 -27.1 -14.5 -9 0 12.6 17.7 13.5 6.1 -8.2 -26.6 -28.1
-29.02 -28.02 -24.02 -13.52 -3.62 8.68 16.18 13.88 7.08 -7.32 -24.12 -29.62
-30.52 -30.32 -24.12 -13.92 -0.82 9.78 17.78 12.58 5.28 -9.92 -23.42 -24.22
-29.32 -26.82 -22.92 -13.42 -4.42 9.08 17.78 13.98 6.78 -8.92 -21.42 -26.82
-31.42 -30.32 -24.52 -13.12 -2.72 8.78 16.48 16.38 7.78 -5.52 -23.82 -27.62
-26.92 -24.12 -18.62 -13.32 -3.12 8.98 16.38 14.78 5.18 -9.12 -22.22 -29.42
