"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-36.1 -30.8 -26.5 -18.8 -7.5 4.2 12 9.5 0.7 -13.4 -25.9 -31.6
-33.8 -32.2 -27.1 -18.7 -7.9 3.6 12.5 9.5 1.5 -13.8 -29.3 -31.1
-34.4 -29.7 -27.6 -18.4 -7.5 3.8 13 8.9 1.7 -12.4 -26.4 -31.3
-33.8 -33.7 -26.6 -17.7 -7.2 5.3 13 10.3 1 -11.8 -25.7 -30.3
-33.6 -30.9 -27.3 -18 -7.2 3.8 13.3 9.2 1.7 -12.7 -26.6 -29.9
-34.1 -32.1 -26.7 -17.3 -7.4 5.6 12.7 9.6 1.8 -12 -27.4 -28.7
-34.1 -32.4 -27.1 -18 -7.5 4.9 12.9 9.6 1.6 -12.7 -26.6 -29.9
-34.1 -32.4 -27.1 -18 -7.2 5.8 13.1 10 1.7 -12.4 -26.8 -32.3
-35.7 -31.1 -28.7 -19.1 -8.4 4.8 13.2 9.6 1.1 -12.9 -26 -30.1
-34.2 -30.3 -28.8 -19.1 -7.3 4.5 12.8 9.8 1.7 -13.1 -28.1 -32.1
-34.5 -32 -28.4 -18 -7.4 4.7 13.1 9.7 1.6 -12.1 -27.2 -31.2
-33 -32.5 -29.7 -17.2 -7.5 4.4 12.4 9.6 1.6 -14.3 -26.8 -30.8
-35.6 -33.3 -26 -18.6 -7.7 5.2 12.4 9.4 1.6 -12.7 -26.8 -27.9
-32.6 -31.1 -28 -17.8 -7.2 4.6 12.1 10.1 1.7 -12.8 -26.7 -30.1
-34.1 -34.3 -27.8 -17.6 -6.7 5.9 13.6 10 1.4 -13.7 -26.6 -31.8
-33.4 -32.3 -28.3 -18.2 -8.2 4.4 12.1 9.6 2.4 -12 -28 -32.7
-34.9 -35 -29 -18.9 -5.5 5.3 13.5 8.2 0.8 -14.5 -27.9 -28.1
-33.9 -31.1 -27.7 -18.2 -9.3 4.6 13.4 9.6 2.4 -13.5 -25.8 -30.5
-35.3 -34.7 -29.3 -17.9 -7.4 4.3 12.1 12.2 3.4 -9.9 -28.2 -31.7
-31 -28.3 -23.2 -18.1 -7.9 4.5 11.9 10.6 1 -13.4 -26.6 -32.5
-32.5 -31.9 -26.2 -18.4 -8.5 4.7 13.7 8.5 1.4 -10.7 -24.2 -31
-32.3 -37.1 -24.1 -18.9 -5.9 6.7 14 10.2 1.3 -13.7 -26.2 -28.8
-33.1 -30.6 -29.3 -18.8 -9 5.6 13.3 12 3.4 -11.3 -26.3 -29.7
-35.7 -30.5 -25.1 -18.8 -5.7 4.7 15.3 10.3 2.3 -10.4 -22.4 -29.7
-29.3 -31.1 -29.3 -18.1 -8.1 3.8 11.2 8.3 1.2 -11.4 -25.7 -30.8
-32 -35.1 -22.9 -17 -10 3.5 12.6 10.6 0.7 -10.5 -26.1 -30.2
-36 -28 -28.4 -17.5 -4.6 5.6 11 9.2 2.9 -11.1 -29.5 -32.4
-32.6 -29.5 -29.1 -18.6 -7.7 4.8 13.6 11.3 2.4 -12.1 -23.9 -28.6
-36.2 -31.7 -27.4 -18.4 -8.8 3.3 15.5 9.1 3.1 -7.6 -23.2 -30.7
-27 -36.4 -27.7 -19.7 -6.8 5.7 13.3 7.4 1 -14.1 -18.3 -31.6
-37.8 -27.8 -28.5 -19.4 -7.3 4.7 12.4 10.2 3 -9.2 -23.8 -28.4
-32.1 -29.7 -27.3 -15 -5.7 6.1 14.6 10.4 3.8 -11.6 -27.8 -32.5
-27.8 -30.2 -28.7 -16.7 -10.8 2.5 10.9 10 -1.2 -11.2 -29.8 -30.8
-29.5 -19.6 -25 -18.8 -6.5 5.3 12 9.4 0.7 -9.8 -24.2 -32.1
-35.7 -23.2 -31 -22.1 -2.9 6.2 12.8 10.3 1.9 -14.2 -26.6 -28.9
-39.4 -34.3 -27.4 -14.5 -5.9 4.6 14.4 8.9 4.8 -11.5 -26.5 -25.2
-24.4 -28.2 -33.3 -18.5 -4.7 5.8 12.9 7 2.5 -12.6 -23.5 -29.3
-26.3 -32.4 -24.4 -13.6 -5.9 6.2 12.5 10.8 3.5 -14.1 -21.9 -29.1
-36.1 -27 -26.5 -19.3 -9.1 6.5 12.5 10 1.6 -11.8 -25.5 -22.6
-35.3 -29.4 -28.4 -17 -6.7 7.1 12.1 9.2 1.7 -15.1 -26.7 -36.1
-39.2 -36.8 -33 -21.2 -5.2 8.9 15.3 10.8 2.4 -8.9 -27.9 -34.3
-26.6 -31.7 -34.1 -20.4 -4.5 6.8 13.9 9.2 3.2 -13.1 -27.4 -23.5
-33.5 -25.8 -22.4 -9.8 -4.3 6.8 12 10.3 3 -8.8 -24.9 -34
-28.2 -29.7 -25.3 -16.9 -6.7 3.7 12.4 9.3 2.8 -11.8 -24.4 -26.9
-31.5 -29 -30.2 -15.8 -5.5 9 13.8 10.9 3.5 -8.4 -27.1 -32.4
-35.7 -35.4 -27.2 -16 -7.5 4.8 13.8 8.3 -1 -11.5 -28.6 -35.2
-34.3 -35.6 -25.2 -15.7 -3.8 6.3 13.9 9.7 1.2 -5 -25.7 -28.7
-30.9 -34 -25 -18.3 -6.3 5 13.6 10.3 4.1 -7.1 -17.9 -30.8
-29.8 -31.2 -24.4 -15.4 -6.2 3.6 11.6 9.4 3.4 -7.8 -30.1 -25.3
-36.9 -34.7 -27.6 -18.7 -5.4 6.1 12 8.4 1.4 -12.2 -28.7 -30.8
-36.9 -36.6 -30.4 -18 -6.4 3.9 12 8.6 3.7 -7.7 -25.3 -27
