"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-35.95 -30.65 -26.35 -18.65 -7.35 4.35 12.15 9.65 0.85 -13.25 -25.75 -31.45
-33.65 -32.05 -26.95 -18.55 -7.75 3.75 12.65 9.65 1.65 -13.65 -29.15 -30.95
-34.25 -29.55 -27.45 -18.25 -7.35 3.95 13.15 9.05 1.85 -12.25 -26.25 -31.15
-33.65 -33.55 -26.45 -17.55 -7.05 5.45 13.15 10.45 1.15 -11.65 -25.55 -30.15
-33.45 -30.75 -27.15 -17.85 -7.05 3.95 13.45 9.35 1.85 -12.55 -26.45 -29.75
-33.95 -31.95 -26.55 -17.15 -7.25 5.75 12.85 9.75 1.95 -11.85 -27.25 -28.55
-33.95 -32.25 -26.95 -17.85 -7.35 5.05 13.05 9.75 1.75 -12.55 -26.45 -29.75
-33.95 -32.25 -26.95 -17.85 -7.05 5.95 13.25 10.15 1.85 -12.25 -26.65 -32.15
-35.55 -30.95 -28.55 -18.95 -8.25 4.95 13.35 9.75 1.25 -12.75 -25.85 -29.95
-34.05 -30.15 -28.65 -18.95 -7.15 4.65 12.95 9.95 1.85 -12.95 -27.95 -31.95
-34.35 -31.85 -28.25 -17.85 -7.25 4.85 13.25 9.85 1.75 -11.95 -27.05 -31.05
-32.85 -32.35 -29.55 -17.05 -7.35 4.55 12.55 9.75 1.75 -14.15 -26.65 -30.65
-35.45 -33.15 -25.85 -18.45 -7.55 5.35 12.55 9.55 1.75 -12.55 -26.65 -27.75
-32.45 -30.95 -27.85 -17.65 -7.05 4.75 12.25 10.25 1.85 -12.65 -26.55 -29.95
-33.95 -34.15 -27.65 -17.45 -6.55 6.05 13.75 10.15 1.55 -13.55 -26.45 -31.65
-35.92 -35.62 -27.42 -16.22 -7.72 4.58 13.58 8.08 -1.22 -11.72 -28.82 -35.42
-34.52 -35.82 -25.42 -15.92 -4.02 6.08 13.68 9.48 0.98 -5.22 -25.92 -28.92
-31.12 -34.22 -25.22 -18.52 -6.52 4.78 13.38 10.08 3.88 -7.32 -18.12 -31.02
-30.02 -31.42 -24.62 -15.62 -6.42 3.38 11.38 9.18 3.18 -8.02 -30.32 -25.52
-37.12 -34.92 -27.82 -18.92 -5.62 5.88 11.78 8.18 1.18 -12.42 -28.92 -31.02
-37.12 -36.82 -30.62 -18.22 -6.62 3.68 11.78 8.38 3.48 -7.92 -25.52 -27.22
-36.12 -29.72 -30.72 -19.32 -7.32 4.78 11.58 8.88 3.58 -14.82 -28.72 -34.52
-34.82 -28.92 -25.42 -13.32 -4.92 6.18 15.98 8.08 0.98 -11.02 -23.82 -26.72
-36.02 -34.42 -27.72 -16.72 -7.42 7.18 12.88 11.58 -0.02 -10.22 -24.22 -25.42
-24.32 -37.32 -33.22 -18.22 -8.42 5.68 13.88 9.98 0.78 -12.62 -29.32 -37.42
-35.52 -26.82 -26.12 -21.02 -9.42 6.58 13.78 8.18 1.78 -16.92 -19.92 -25.52
-31.82 -34.62 -28.82 -19.62 -6.32 6.98 12.78 10.48 -2.32 -16.42 -33.42 -35.02
-33.82 -35.02 -32.22 -21.42 -8.72 2.68 13.88 7.58 -0.32 -16.12 -31.92 -38.02
-37.92 -31.22 -22.92 -18.92 -8.12 8.38 13.38 11.08 2.68 -12.12 -23.22 -31.22
-36.32 -37.72 -32.32 -19.22 -6.62 7.08 11.28 7.58 0.48 -15.02 -29.82 -25.92
-38.8 -28.8 -29.5 -20.4 -8.3 3.7 11.4 9.2 2 -10.2 -24.8 -29.4
-33.1 -30.7 -28.3 -16 -6.7 5.1 13.6 9.4 2.8 -12.6 -28.8 -33.5
-28.8 -31.2 -29.7 -17.7 -11.8 1.5 9.9 9 -2.2 -12.2 -30.8 -31.8
-30.5 -20.6 -26 -19.8 -7.5 4.3 11 8.4 -0.3 -10.8 -25.2 -33.1
-36.7 -24.2 -32 -23.1 -3.9 5.2 11.8 9.3 0.9 -15.2 -27.6 -29.9
-40.4 -35.3 -28.4 -15.5 -6.9 3.6 13.4 7.9 3.8 -12.5 -27.5 -26.2
-25.4 -29.2 -34.3 -19.5 -5.7 4.8 11.9 6 1.5 -13.6 -24.5 -30.3
-27.3 -33.4 -25.4 -14.6 -6.9 5.2 11.5 9.8 2.5 -15.1 -22.9 -30.1
-37.1 -28 -27.5 -20.3 -10.1 5.5 11.5 9 0.6 -12.8 -26.5 -23.6
-36.3 -30.4 -29.4 -18 -7.7 6.1 11.1 8.2 0.7 -16.1 -27.7 -37.1
-40.2 -37.8 -34 -22.2 -6.2 7.9 14.3 9.8 1.4 -9.9 -28.9 -35.3
-27.6 -32.7 -35.1 -21.4 -5.5 5.8 12.9 8.2 2.2 -14.1 -28.4 -24.5
