Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-52.9 -38.7 -29.61 -13.61 -2.79 10.6 15.8 12.29 -0.7 -14.31 -31.81 -44.4
-48.39 -46.6 -36.31 -14.91 0.11 11.91 12.61 9.79 0.41 -18.01 -37.01 -48.71
-49.3 -47.9 -30.11 -18.51 -0.69 10.71 14.71 11.99 2.31 -16.01 -39.41 -43.6
-50.19 -38.71 -35.09 -17.21 -1.7 13.91 18.01 10.09 4.11 -15.1 -40.6 -41.79
-52.9 -46.91 -28.71 -15.61 2.21 9.81 13.31 6.89 0.7 -18.72 -39.82 -50.2
-48.05 -47.76 -30.97 -17.47 -2.25 10.35 14.55 11.73 0.34 -10.87 -34.17 -49.07
-45.94 -42.67 -31.67 -14.45 1.55 12.65 17.14 12.13 1.25 -17.97 -38.96 -45.07
-48.66 -47.47 -29.27 -16.36 -1.35 11.15 11.85 10.03 1.35 -13.57 -38.37 -49.56
-49.96 -51.48 -34.37 -12.56 -0.65 11.05 13.25 11.93 4.05 -12.46 -36.86 -42.96
-43.26 -40.07 -27.67 -9.65 -0.66 9.35 14.65 11.33 1.44 -17.68 -40.25 -45.97
-47.56 -38.36 -33.87 -18.17 -2.25 11.25 12.15 10.73 3.35 -16.17 -28.77 -50.48
-50.76 -49.47 -31.67 -18.57 -2.55 11.05 12.75 8.23 0.15 -18.37 -39.67 -41.17
-50.46 -43.57 -28.97 -17.16 -2.95 9.74 12.15 9.53 0.04 -15.77 -35.87 -45.77
-50.66 -45.29 -31.97 -18.46 -2.55 10.25 12.54 10.73 3.05 -16.57 -31.48 -41.47
-43.35 -47.36 -29.46 -18.16 -1.35 9.15 13.85 8.73 -0.15 -14.87 -37.67 -44.25
-47.06 -44.26 -29.57 -17.47 -0.25 7.95 15.75 11.33 2.95 -17.77 -37.07 -43.77
-50.45 -47.66 -35.86 -14.87 1.55 11.55 13.96 9.63 3.25 -11.37 -27.86 -42.07
-49.86 -45.27 -29.07 -13.67 -2.55 10.85 12.85 11.23 0.05 -14.88 -36.77 -42.97
-47.45 -41.26 -34.07 -17.07 0.15 11.15 14.03 9.43 -1.05 -16.17 -41.47 -44.56
-45.46 -45.27 -27.36 -16.06 -3.55 12.55 13.85 9.95 2.05 -18.07 -33.98 -45.56
-47.97 -47.68 -30.89 -17.39 -2.17 10.43 14.63 11.81 0.42 -10.79 -34.09 -48.99
-45.86 -42.59 -31.59 -14.37 1.63 12.73 17.22 12.21 1.33 -17.89 -38.88 -44.99
-48.58 -47.39 -29.19 -16.28 -1.27 11.23 11.93 10.11 1.43 -13.49 -38.29 -49.48
-49.88 -51.4 -34.29 -12.48 -0.57 11.13 13.33 12.01 4.13 -12.38 -36.78 -42.88
-43.18 -39.99 -27.59 -9.57 -0.58 9.43 14.73 11.41 1.52 -17.6 -40.17 -45.89
-47.48 -38.28 -33.79 -18.09 -2.17 11.33 12.23 10.81 3.43 -16.09 -28.69 -50.4
-50.68 -49.39 -31.59 -18.49 -2.47 11.13 12.83 8.31 0.23 -18.29 -39.59 -41.09
-50.38 -43.49 -28.89 -17.08 -2.87 9.82 12.23 9.61 0.12 -15.69 -35.79 -45.69
-50.58 -45.21 -31.89 -18.38 -2.47 10.33 12.62 10.81 3.13 -16.49 -31.4 -41.39
-43.27 -47.28 -29.38 -18.08 -1.27 9.23 13.93 8.81 -0.07 -14.79 -37.59 -44.17
-46.98 -44.18 -29.49 -17.39 -0.17 8.03 15.83 11.41 3.03 -17.69 -36.99 -43.69
-50.37 -47.58 -35.78 -14.79 1.63 11.63 14.04 9.71 3.33 -11.29 -27.78 -41.99
-49.78 -45.19 -28.99 -13.59 -2.47 10.93 12.93 11.31 0.13 -14.8 -36.69 -42.89
-47.37 -41.18 -33.99 -16.99 0.23 11.23 14.11 9.51 -0.97 -16.09 -41.39 -44.48
-45.38 -45.19 -27.28 -15.98 -3.47 12.63 13.93 10.03 2.13 -17.99 -33.9 -45.48
-46.85 -46.48 -32.58 -13.77 -3.47 10.03 12.15 9.22 1.94 -17.79 -38.48 -46.17
-44.15 -45.17 -34.39 -15.26 1.03 11.74 13.56 8.64 0.42 -19.27 -39.39 -45.68
-50.04 -43.32 -31.06 -16.09 -3.16 10.24 12.32 10.01 0.34 -15.69 -32.8 -46.05
-50.19 -47.93 -33.96 -19.39 -1.14 9.5 12.42 8.21 -0.98 -20.16 -41.18 -42.87
-45.93 -43.97 -33.76 -18.71 -0.84 9.85 14.81 11.52 2.25 -15.49 -40.88 -42.04
-41.48 -40.7 -31.46 -14.19 0.34 11.34 13.44 10.04 0.95 -15.05 -35.52 -43.49
-51.17 -41.1 -34.46 -14.69 -3.66 9.03 15.24 9.74 2.15 -17.94 -42.57 -46.17
