Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
4.97 9.19 6.3 16.05 8.26 26.56 56.33 31.45 23.48 19.76 7.32 10.05
9.64 5.16 7.21 4.85 8.42 23.78 42.71 50.61 17.04 12.11 7.19 8.06
5.64 3.43 4.25 5.29 10.48 14.76 32.37 21.86 12.05 8.47 5.6 10.61
6.2 5.57 4.3 8.75 3.43 13.33 24.7 28.41 21.91 16.79 5.86 14.95
3.66 7.32 5.35 12.13 8.21 14.38 19.7 22 21.93 9.65 7.03 7.6
6.58 3.84 3.7 5.91 10.47 11.49 15.34 33.62 13.98 18.88 4.69 3.26
13.4 4.29 6.42 7.97 8.77 23.87 35.95 33.04 21.33 14.67 8.63 11.23
8.02 7.4 6.71 5.91 8.93 24.19 37.73 33.73 21.66 14.86 8.55 11.28
8.1 7.56 6.96 5.91 8.93 23.79 37.08 34.3 21.49 14.86 8.63 11.39
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.02 7.64 6.71 5.75 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 37.32 7.05 3.05 8.4
5.36 3.4 7.29 2.35 5.99 27.43 15.5 38.83 27.85 9.3 7.94 3.9
6.24 4.49 3.27 3.2 6.07 30.2 79.77 38.38 12.26 8.1 7.14 6
5.28 6.46 3.76 1.03 3.83 28.89 40.61 21.63 22.06 20.33 3.84 6.89
4.69 3.19 5.42 5.75 8.65 23.87 36.32 33.06 13.7 8.64 3.74 8.29
8.53 5.78 6.08 3.09 6.13 36.32 21.1 31.67 26.62 13.41 4.06 6.28
6.58 3.84 3.7 5.91 10.47 11.49 15.34 33.62 13.98 18.88 4.69 3.26
13.4 4.29 6.42 7.97 8.77 23.87 35.95 33.04 21.33 14.67 8.63 11.23
8.02 7.4 6.71 5.91 8.93 24.19 37.73 33.73 21.66 14.86 8.55 11.28
8.1 7.56 6.96 5.91 8.93 23.79 37.08 34.3 21.49 14.86 8.63 11.39
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.02 7.64 6.71 5.75 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 21.9 14.95 8.71 11.47
8.26 7.64 6.71 5.91 8.93 24.19 36.92 33.81 37.32 7.05 3.05 8.4
5.36 3.4 7.29 2.35 5.99 27.43 15.5 38.83 27.85 9.3 7.94 3.9
6.24 4.49 3.27 3.2 6.07 30.2 79.77 38.38 12.26 8.1 7.14 6
5.28 6.46 3.76 1.03 3.83 28.89 40.61 21.63 22.06 20.33 3.84 6.89
4.69 3.19 5.42 5.75 8.65 23.87 36.32 33.06 13.7 8.64 3.74 8.29
8.53 5.78 6.08 3.09 6.13 36.32 21.1 31.67 26.62 13.41 4.06 6.28
2.86 5.96 3.08 6.16 3.58 13.14 47.46 35.95 15.34 4.14 2.32 3.02
2.91 5.37 2.1 15.52 3.01 28.66 49.78 34.58 30.54 15.15 4.37 7.37
3.24 8.95 9.12 3.25 3.31 9.97 55.31 30.72 12.18 9.37 6.11 17.87
7.33 5.85 3.5 4.22 20.6 15.93 27.98 19.53 12.66 9.3 3.75 16.15
8.75 9.37 5.59 1.61 4.43 36.61 27.79 27.58 16.37 20.94 1.93 7.6
9.23 4.12 8.04 5.92 12.17 19.02 34.02 21.77 18 7.75 9.43 19.01
3.81 4.04 1.93 6.04 4.8 14.12 25.16 24.86 22.41 9.51 4.72 9.71
16.39 5.28 6.44 1.07 5.28 20.14 30.26 35.6 17.05 18.58 7.02 11.88
6.73 1.82 4.28 3.62 10.18 29.2 28.69 62.52 20.11 11.07 9.03 20.09
4.46 15.67 11.19 3.25 12.41 5.6 40.63 54.21 20.27 18.23 13.81 8.73
3.75 7.65 4.14 3.56 10.56 25.62 20.53 26.92 31.03 21.02 7.5 10
6.94 3.05 7.42 2.38 7.4 25.61 35.18 34.33 7.4 7.62 13.06 9.58
7.67 12.25 4.41 6.65 2.38 10.9 57.75 44.51 24.22 19.38 4.96 4.83
6.22 11.11 8.7 8.87 8.4 42.37 31.75 39.09 26.26 13.17 9.32 6.79
8.62 7.61 12.58 7.42 18.51 23.69 56.69 38.03 13.86 18.71 6.72 12.31
3.77 7.25 4.85 4.13 18.87 21.71 34.59 34.87 16.29 13.65 7.74 11.49
9.08 8.42 7.53 6.62 9.58 24.53 37.2 26.77 9.99 8.26 3.45 8.47
9.03 3.46 3.02 2.03 8.25 15.8 46.15 17.28 29.91 12.06 6.04 6.79
4.59 9.59 3.58 1.86 8.68 17.04 17.01 15.41 13.36 9.41 3.57 5.27
4.88 7.62 3.79 3.7 3.87 28.95 42.34 34.79 23.66 7.26 3.33 9.02
2.09 5.04 6.67 4.53 7.14 33.22 22.75 39.2 18.76 12.71 3.3 7.8
7.49 12.88 2.52 3.93 4.51 58.11 20.25 49.33 25.44 4.35 2.98 7.45
13.75 6.6 11.3 5.7 2.72 21.36 35.7 22.29 22.56 14.44 8.36 11.4
5.61 8.02 5.1 8.55 8.47 26.85 27.14 70.14 27.89 9.15 7.07 9.16
4.25 4.66 9.38 4.03 7.91 31.01 44.27 58.61 15.49 14.17 5.54 5.47
4.8 5.43 4.51 4.03 5.43 28.61 35.15 60.35 36.98 9.13 4.31 6.01
5.99 3.21 6.15 3.34 5.09 19.63 32.85 37.31 24.7 6.58 5.94 5.6
6.14 3.88 4.12 5.92 24.79 11.42 47.49 47.03 19.04 18.13 6.36 3.28
5.07 6.78 4.83 5.09 15.11 39.6 28.21 43.75 28.91 11.74 5.79 17.56
6.08 4.99 4.7 3.01 6.22 12.33 47.64 49.14 17.25 19.81 6.48 11.16
5.14 7.19 4.59 5.34 15.92 42.47 33.08 22.7 30.49 10.76 8.93 11.44
4.93 9.12 6.4 4.22 4.24 11.85 35.47 29.34 22.66 9.73 10.24 8.06
9.9 9.33 8.65 7.6 3.82 23.53 15.6 40.1 12.39 12.19 9.01 13
9.9 9.65 8.57 7.6 7.45 37.41 20.55 21.98 16.01 7.2 6.11 7.11
4.19 6.46 5.39 4.22 6.82 34.03 19.69 14.31 16.38 8.25 4.11 13.16
10.03 9.41 8.48 7.68 10.7 25.96 38.69 35.42 23.75 16.8 10.48 13.08
