Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
5.08 9.38 6.28 16.08 8.88 27.18 57.98 31.38 23.38 18.38 7.28 9.18
10.38 5.78 6.98 6.78 9.98 26.88 48.78 47.38 21.18 12.38 8.08 7.18
5.78 3.18 4.98 4.88 10.48 17.28 32.98 28.28 12.58 8.38 6.18 9.98
5.88 5.58 5.28 7.58 4.58 15.38 24.78 25.98 19.08 14.98 6.08 12.78
3.58 8.68 4.88 10.48 8.38 21.88 19.08 26.28 26.18 9.78 7.28 7.38
5.89 7.19 5.59 6.79 15.79 41.89 33.69 25.19 29.29 9.79 8.69 9.99
4.59 9.49 5.89 3.79 4.79 12.69 40.39 30.09 22.19 8.39 9.09 6.99
9.59 9.09 9.79 6.69 5.49 21.99 14.09 37.79 15.09 12.79 9.19 10.79
9.59 11.29 8.99 6.89 7.59 34.79 21.89 20.69 17.19 7.09 6.29 7.09
5.19 6.19 4.99 3.89 6.89 34.49 19.19 16.99 15.79 8.39 6.29 11.89
10.49 9.49 8.49 7.49 11.49 26.49 39.49 34.39 23.79 15.79 10.79 11.29
11.09 9.39 7.89 7.09 12.09 27.79 38.19 34.09 26.29 14.59 11.49 12.09
9.59 9.79 7.49 7.09 11.09 25.59 33.09 30.49 24.39 13.69 9.19 11.89
11.69 8.69 7.49 8.39 10.49 26.99 34.79 31.89 23.69 12.89 8.99 4.79
7.99 8.99 4.69 4.49 9.89 39.39 28.49 29.49 46.49 17.19 9.49 4.39
5.09 9.39 6.29 16.09 8.89 27.19 57.99 31.39 23.39 18.39 7.29 9.19
10.39 5.79 6.99 6.79 9.99 26.89 48.79 47.39 21.19 12.39 8.09 7.19
5.79 3.19 4.99 4.89 10.49 17.29 32.99 28.29 12.59 8.39 6.19 9.99
5.89 5.59 5.29 7.59 4.59 15.39 24.79 25.99 19.09 14.99 6.09 12.79
3.59 8.69 4.89 10.49 8.39 21.89 19.09 26.29 26.19 9.79 7.29 7.39
7.09 3.79 3.69 5.99 11.39 12.69 15.19 35.19 13.09 15.79 5.69 2.89
13.09 6.49 6.79 7.19 8.49 22.39 30.89 28.49 17.99 12.19 8.39 9.29
7.19 6.39 7.09 5.99 10.19 24.99 43.69 33.39 20.09 13.29 7.89 9.59
7.79 7.19 8.59 5.99 9.79 22.09 39.29 37.39 18.89 13.59 8.59 10.59
8.99 7.99 6.99 5.99 9.99 24.99 37.99 33.99 21.99 13.99 8.99 10.99
7.19 7.99 6.99 4.79 9.99 24.99 37.99 33.99 21.99 13.99 8.99 10.99
8.99 7.99 6.99 5.99 9.99 24.99 37.99 33.99 21.99 13.99 8.99 10.99
8.99 7.99 6.99 5.99 9.99 24.99 37.99 33.99 21.99 13.99 8.99 10.99
8.99 7.99 6.99 5.99 9.99 24.99 37.99 33.99 21.99 13.99 8.99 10.99
8.99 7.99 6.99 5.99 9.99 24.99 37.99 33.99 37.69 6.49 3.09 8.09
5.69 3.69 7.49 2.59 6.39 28.59 16.09 37.19 28.59 8.49 8.39 3.89
7.99 4.89 3.29 3.29 6.89 28.99 81.19 37.09 15.09 7.29 7.19 6.49
5.49 6.59 3.99 1.49 4.69 33.69 40.29 23.49 23.19 18.59 4.29 6.39
5.59 5.09 5.79 5.79 8.99 26.99 39.99 35.09 14.49 8.69 3.99 8.09
9.49 5.89 7.69 2.99 8.29 35.29 21.09 29.79 28.09 12.09 4.59 5.89
5.83 3.73 4.83 1.83 5.13 21.03 35.73 53.53 25.43 5.73 6.83 3.83
3.13 9.33 5.13 5.33 12.73 37.03 40.63 23.93 15.63 13.13 2.03 8.23
6.03 4.93 5.43 5.73 11.63 18.33 42.93 27.03 25.43 13.93 6.43 8.63
5.93 6.53 6.03 4.83 6.43 25.13 38.43 40.23 9.53 14.03 5.63 11.53
6.93 5.03 3.63 4.23 6.43 24.03 43.43 25.73 18.43 14.63 4.03 6.33
6.33 6.33 4.63 4.53 3.83 33.23 36.23 23.53 23.63 13.53 7.13 8.33
5.13 6.63 4.43 2.73 2.03 24.53 53.73 47.73 13.23 7.03 5.03 9.63
4.03 4.23 9.63 5.93 6.33 54.63 16.13 46.93 23.23 11.93 4.33 10.63
9.83 4.03 8.73 7.33 6.13 32.63 87.13 28.03 31.03 7.03 6.63 12.13
14.13 4.53 2.53 4.33 10.93 32.23 34.43 57.13 22.43 12.83 8.43 9.83
5.43 12.83 5.63 1.43 2.63 12.63 39.13 18.33 10.53 9.23 7.83 8.43
18.73 5.03 1.53 2.43 6.23 28.33 24.93 31.83 18.23 15.33 8.13 16.13
4.93 4.53 2.23 2.43 4.43 36.23 30.33 44.13 27.13 11.03 1.43 5.83
11.53 7.03 12.13 11.63 7.03 14.23 33.93 27.03 26.53 6.03 6.03 5.13
4.13 4.73 6.23 3.63 1.53 36.53 69.43 31.73 19.93 6.03 7.83 3.53
5.9 3.8 4.9 1.9 5.2 21.1 35.8 53.6 25.5 5.8 6.9 3.9
3.2 9.4 5.2 5.4 12.8 37.1 40.7 24 15.7 13.2 2.1 8.3
6.1 5 5.5 5.8 11.7 18.4 43 27.1 25.5 14 6.5 8.7
6 6.6 6.1 4.9 6.5 25.2 38.5 40.3 9.6 14.1 5.7 11.6
7 5.1 3.7 4.3 6.5 24.1 43.5 25.8 18.5 14.7 4.1 6.4
6.4 6.4 4.7 4.6 3.9 33.3 36.3 23.6 23.7 13.6 7.2 8.4
5.2 6.7 4.5 2.8 2.1 24.6 53.8 47.8 13.3 7.1 5.1 9.7
4.1 4.3 9.7 6 6.4 54.7 16.2 47 23.3 12 4.4 10.7
9.9 4.1 8.8 7.4 6.2 32.7 87.2 28.1 31.1 7.1 6.7 12.2
14.2 4.6 2.6 4.4 11 32.3 34.5 57.2 22.5 12.9 8.5 9.9
5.5 12.9 5.7 1.5 2.7 12.7 39.2 18.4 10.6 9.3 7.9 8.5
18.8 5.1 1.6 2.5 6.3 28.4 25 31.9 18.3 15.4 8.2 16.2
5 4.6 2.3 2.5 4.5 36.3 30.4 44.2 27.2 11.1 1.5 5.9
11.6 7.1 12.2 11.7 7.1 14.3 34 27.1 26.6 6.1 6.1 5.2
4.2 4.8 6.3 3.7 1.6 36.6 69.5 31.8 20 6.1 7.9 3.6
4.8 7.7 6.2 4 18.3 20.9 31.6 31.2 16 13 8.7 11
8.8 8.3 7.7 6 9.4 22.4 35.8 25.9 9.4 8.1 4.6 8.1
11.4 4.8 5.5 3 8.9 16.5 46.7 18.9 29.6 10.7 7.4 6.3
4.8 9 4.4 2 11.1 18.7 16.9 17 14.2 8.8 3.5 4.8
5.4 8.2 4.3 3.6 4.3 28.1 42.7 38.2 24.8 7.3 4.8 8.7
2.1 5.5 6.9 4.5 7.8 36.1 25.4 40.6 20 12 3.6 7
9 14.1 2.8 3.9 5.5 52.1 20.1 46.5 24 6.7 4.4 7.8
15.4 6.8 12.2 5.7 3 22.5 35.5 26 21.6 13.2 9 11.7
5.9 7.8 5.1 8.4 9.7 28.4 31.6 67.5 29.2 8.3 7.5 9.1
4.7 4.4 10.4 3.9 8.5 31.4 45.6 59.9 15.4 12.8 5.9 5.1
5.2 5.5 4.6 3.9 5.9 28.5 34.3 61.1 34.9 8.7 4.4 6.1
6.9 3.2 6.4 3.2 5.4 21.9 35.2 36.6 24.8 6.3 6.3 5.3
6.8 3.8 4.1 6 26.6 14.1 47.1 43.8 19.1 16.7 7 3
5.3 6.9 4.8 5.1 17.3 39.7 27.5 40.3 25.6 11.4 6.1 17.1
6.6 4.7 5.1 3.1 6.9 12.1 52.8 44.7 15.3 18.9 6.7 10.5
4.08 3.68 3.68 4.28 9.78 20.88 52.58 33.48 16.28 8.08 10.28 3.68
7.58 3.48 2.78 5.98 11.68 18.38 45.68 20.88 35.28 13.98 5.68 13.68
9.08 8.28 7.08 5.08 4.88 28.18 40.18 25.48 27.98 13.68 9.78 8.78
10.28 12.28 6.18 3.98 14.58 24.48 27.48 60.28 27.98 10.98 6.58 8.78
3.68 3.78 7.38 7.18 5.98 22.88 18.28 15.48 13.68 16.48 7.08 3.68
9.88 8.38 8.88 3.08 10.18 31.28 41.28 37.78 27.78 18.38 24.18 14.78
8.38 6.38 9.88 4.88 11.48 30.08 11.68 13.58 19.58 13.48 16.18 5.88
9.78 11.58 7.98 4.78 8.38 14.88 47.68 44.98 10.58 17.08 3.98 12.88
16.78 6.68 2.18 9.48 1.78 28.88 26.88 26.38 36.88 8.98 1.78 9.28
4.98 2.48 10.78 4.78 7.28 41.48 36.38 47.78 18.28 11.98 10.18 15.98
5.68 3.78 12.98 1.08 13.68 38.28 22.78 15.88 24.38 11.68 5.18 9.58
8.78 5.58 3.38 8.08 8.28 13.78 18.88 25.28 22.18 22.08 6.78 10.68
