Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
15.1 8.67 7.67 10.86 12.56 30.59 51.5 47.5 22.61 17.06 22.6 18.14
20.59 12.15 10.6 13.6 15.59 30.59 51.5 47.5 22.6 17.06 22.6 18.14
20.59 12.15 10.6 13.6 15.59 30.59 51.5 47.5 22.6 17.06 22.6 13.07
14.91 8.67 9.78 9.46 14.63 30.59 51.5 47.5 22.6 14.32 16.23 15.39
13.66 8.29 7.24 9.13 13.23 28.95 59.46 43.69 26.37 13.5 17.87 16.78
22.15 7.77 5.47 8.51 11.8 24.19 49.87 36.37 16.4 14.61 20.06 10.57
13.33 10.04 7.63 7.98 14.2 27.52 51.61 44.86 18.86 13.36 14.75 14.14
12.85 10.04 10.17 11.01 12.13 18.63 51.27 37.57 17.75 13.17 15.67 11.78
13.14 6.9 9.54 8.51 13.53 33.89 40.66 49.16 20.5 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.36
12.56 6.9 5.9 7.98 8.67 28.82 49.73 45.73 25.03 14.81 20.73 12.69
12.85 6.71 6.14 7.69 10.4 28.82 49.73 45.73 20.83 15.29 20.83 16.36
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.84 15.29 20.83 16.36
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.36
22.15 7.77 5.47 8.51 11.8 24.19 49.87 36.37 16.4 14.61 20.06 10.57
13.33 10.04 7.63 7.98 14.2 27.52 51.61 44.86 18.86 13.36 14.75 14.14
12.85 10.04 10.17 11.01 12.13 18.63 51.27 37.57 17.75 13.17 15.67 11.78
13.14 6.9 9.54 8.51 13.53 33.89 40.66 49.16 20.5 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.37
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.36
12.56 6.9 5.9 7.98 8.67 28.82 49.73 45.73 25.03 14.81 20.73 12.69
12.85 6.71 6.14 7.69 10.4 28.82 49.73 45.73 20.83 15.29 20.83 16.36
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.84 15.29 20.83 16.36
18.82 10.38 8.83 11.83 13.82 28.82 49.73 45.73 20.83 15.29 20.83 16.36
19.33 4.52 8.44 14.65 7.27 32.07 46.91 48.91 17.37 6.57 7.84 7.21
16.77 11.14 3.25 12.65 18.64 35.23 22.8 51.67 48.55 12.39 11.3 23.09
32.2 11.1 4.07 16.36 11.26 50.92 68.32 42.36 12.44 4.94 11.32 13.15
18.65 17.81 7.64 9.14 5.67 21.28 70.44 73.31 22.37 9.43 14.83 22.24
8.24 14.5 8.47 4.8 3.69 43.74 72.65 23.72 4.39 11.24 6.58 6.25
15.23 7.03 10.15 17.93 13.79 43.59 93.88 22.08 14.07 15.93 11.08 17.32
22.72 19.91 12.55 22.32 11.67 8.34 15.73 22.65 10.33 21.67 25.56 20.84
7.16 2.26 1.99 14.25 8.45 11.91 52.71 47.35 15.73 9.54 7.42 28.51
9.74 0.18 2.88 4.38 23.95 45.41 77.02 54.95 34.14 10.75 17.53 13.98
10.06 8.28 5.04 3.08 14.85 17.52 37.46 75.16 7.9 14.47 34.8 11.77
4.24 9.83 8.78 6.62 10.77 24.6 76.85 35.97 35.14 10.66 17.01 14.87
13.94 1.67 8.48 13.91 10.96 27.24 29.13 55 12.35 9.47 7.07 15.28
23.91 8.33 0.57 10.07 4.66 17.24 43.46 47.96 10.77 9.94 0.98 9.26
13.25 33.24 19.02 25.26 19.9 27.11 48.25 55.62 19.21 22.8 16.73 6.9
2.96 1.65 6.04 11.07 25.8 49.88 55.34 45.84 37.28 21.99 41.52 12.69
18.92 10.48 8.93 11.93 13.92 28.92 49.83 45.83 20.93 15.39 20.93 16.47
18.92 10.48 8.93 11.93 13.92 28.92 49.83 45.83 20.93 15.39 20.93 16.46
18.92 10.48 8.93 11.93 13.92 28.92 49.83 45.83 20.93 15.39 20.87 16.47
12.95 8.36 8.59 7.79 11.51 36.78 42.39 35.55 25.26 12.02 18.28 15.6
17.71 8.69 10.27 12.31 10.6 20.17 49.77 45.66 20.93 15.39 20.93 16.41
18.87 10.48 8.93 11.93 13.87 28.98 49.67 45.99 20.88 15.39 20.87 16.47
18.92 10.48 8.93 11.93 13.87 29.14 63.17 37.04 15.59 11.07 17.16 15.79
12.42 13.03 8.64 12.5 10.16 28.46 49.94 45.78 16.12 11.45 14.91 13.82
12.61 11.36 5.73 11.11 11.66 32.15 64.1 38.99 17.66 17.45 16.49 14.1
14.34 7.92 6.29 10.58 17.06 25.25 53.53 49.81 20.93 15.48 18.95 15.45
14.82 12.45 9.35 9.23 12.29 30.66 49.72 45.99 20.93 15.39 20.87 16.41
18.87 10.48 8.93 11.87 13.86 28.81 49.94 45.78 20.88 15.39 20.87 16.41
16.66 7.54 8.26 8.37 10.69 26.62 54.32 59.71 28.83 12.18 17.36 13.37
12.99 8.79 7.58 9.23 10.02 29.23 66.4 34.99 21.75 19.6 8.95 17.45
6.15 1.96 1.81 16.11 19.84 22.99 67.1 23.76 26.86 10.92 18.74 5.94
14.23 10.07 7.76 10.37 10.82 24.94 54.48 37.22 23.95 12.25 17.05 13.35
14.42 8.57 7.76 9.84 11.92 40.86 46.91 41.18 17.05 14.41 17.29 14.8
15 9.82 11.17 10.66 10.53 21.95 37.45 61.72 21.39 15.22 18.44 14.32
15 10.41 8.63 10.95 12.94 20.83 45.99 45.47 37.98 13.84 16.32 14.07
19.96 10.07 8.63 9.84 13.66 28.27 57.14 37.7 21.39 15.66 16.32 14.32
14.42 11.03 10.35 9.55 11.59 26.04 51.01 35.33 16.57 12 16.32 14.8
15 10.07 8.63 10.08 11.93 29.04 45.61 35.34 18.88 11.62 16.61 15.23
15 9.44 8.19 9.55 11.59 23.78 38.71 75.56 22.69 12.58 17.53 13.64
16.98 11.47 9.68 11.76 14.72 24.21 43.24 39.43 20.52 17.15 18.44 15.96
15 9.82 7.57 10.66 11.21 23.44 49.61 58.83 18.45 11.62 17.29 14.07
15.19 8.76 7.76 10.95 12.65 30.68 51.59 47.59 22.7 17.15 22.69 18.23
20.68 12.24 10.69 13.69 15.68 30.68 51.59 47.59 22.69 17.15 22.69 18.23
20.68 12.24 10.69 13.69 15.68 30.68 51.59 47.59 22.69 17.15 22.69 13.16
15 8.76 9.87 9.55 14.72 30.68 51.59 47.59 22.69 14.41 16.32 15.48
13.75 8.38 7.33 9.22 13.32 29.04 59.55 43.78 26.46 13.59 17.96 16.87
4.9 0.53 2.37 3.31 6.49 39.65 59.68 46.65 26.56 13.69 19.18 8.41
13.42 5.05 6.76 6.05 32.19 24.13 50.15 51.58 9.46 30.84 15.11 6.85
12.14 0.31 4.35 15.11 9.35 28.11 72.2 76.76 32.26 9.11 9.36 7.19
4.33 8.08 25.59 1.9 10.49 30.06 92.59 49.67 5.38 25.38 7.36 14.88
41.32 5.38 2.46 6.33 17.09 33.23 86.87 57.94 27.13 17.73 12.97 7.72
5.11 2.57 12.43 2.52 4.53 29.41 37.3 41.27 11.23 17.37 12.51 17.11
15.44 13.68 4.95 21.21 13.13 15.49 30.3 73.04 20.12 35.34 12.59 4.05
19.26 2.21 3.18 14.66 10.13 11.51 50.23 54.65 32.04 7.62 28.46 2.27
15.92 3.24 12.01 12.58 17.13 25.61 34.03 20.6 13.98 5.45 7.67 9.08
2.25 0.38 11.15 3.33 12.28 49.94 48.67 62.96 31.98 7.17 8.3 13.03
31.44 5.88 8.61 25.23 10.37 26.09 55.97 25.36 41.57 20.79 3.77 18.58
31.24 24.06 5.08 21.9 24.35 16.56 81.03 45.45 9.6 14.36 3.85 7.34
5.46 5.07 30.74 17.44 14.51 21.85 24.9 45.92 12.31 22.28 25.72 23.69
17.47 15.17 0.71 10.33 10.06 58.13 34.56 43.85 33.72 17.07 6.95 3.7
11.24 17.39 6.41 0 7.55 19.79 35.82 78.82 26.53 32.84 3.23 17.97
14.26 10.1 7.79 10.4 10.85 24.97 54.51 37.25 23.98 12.28 17.08 13.38
14.45 8.6 7.79 9.87 11.95 40.89 46.94 41.21 17.08 14.44 17.32 14.83
15.03 9.85 11.2 10.69 10.56 21.98 37.48 61.75 21.42 15.25 18.47 14.35
15.03 10.44 8.66 10.98 12.97 20.86 46.02 45.5 38.01 13.87 16.35 14.1
19.99 10.1 8.66 9.87 13.69 28.3 57.17 37.73 21.42 15.69 16.35 14.35
14.45 11.06 10.38 9.58 11.62 26.07 51.04 35.36 16.6 12.03 16.35 14.83
15.03 10.1 8.66 10.11 11.96 29.07 45.64 35.37 18.91 11.65 16.64 15.26
15.03 9.47 8.22 9.58 11.62 23.81 38.74 75.59 22.72 12.61 17.56 13.67
17.01 11.5 9.71 11.79 14.75 24.24 43.27 39.46 20.55 17.18 18.47 15.99
15.03 9.85 7.6 10.69 11.24 23.47 49.64 58.86 18.48 11.65 17.32 14.1
15.22 8.79 7.79 10.98 12.68 30.71 51.62 47.62 22.73 17.18 22.72 18.26
20.71 12.27 10.72 13.72 15.71 30.71 51.62 47.62 22.72 17.18 22.72 18.26
20.71 12.27 10.72 13.72 15.71 30.71 51.62 47.62 22.72 17.18 22.72 13.19
15.03 8.79 9.9 9.58 14.75 30.71 51.62 47.62 22.72 14.44 16.35 15.51
13.78 8.41 7.36 9.25 13.35 29.07 59.58 43.81 26.49 13.62 17.99 16.9
4.77 0.4 2.24 3.18 6.36 39.52 59.55 46.52 26.43 13.56 19.05 8.28
13.29 4.92 6.63 5.92 32.06 24 50.02 51.45 9.33 30.71 14.98 6.72
12.01 0.18 4.22 14.98 9.22 27.98 72.07 76.63 32.13 8.98 9.23 7.06
4.2 7.95 25.46 1.77 10.36 29.93 92.46 49.54 5.25 25.25 7.23 14.75
41.19 5.25 2.33 6.2 16.96 33.1 86.74 57.81 27 17.6 12.84 7.59
4.98 2.44 12.3 2.39 4.4 29.28 37.17 41.14 11.1 17.24 12.38 16.98
