Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-22.47 -24.92 -26.5 -16.69 -6.84 2.88 5.11 4.61 2.19 -4.45 -13.11 -22.5
-18.54 -21.89 -18.57 -12.87 -3.28 2.56 6.58 4.71 0.99 -7.05 -12.8 -24.35
-27.1 -19.76 -16.02 -15.39 -4.79 3.24 5.79 4.41 -0.02 -6.47 -13.73 -20.79
-22.15 -21.19 -21.97 -15.36 -5.29 3.16 5.89 5.5 -0.62 -5.05 -14.13 -13.85
-24.19 -26.57 -21.4 -16.49 -4.89 2.46 5.16 4.99 0.89 -6.55 -15.68 -23.97
-20.01 -22.54 -25.47 -18.61 -9.41 0.64 5.42 4.3 0.69 -5.8 -18.15 -28.27
-30.14 -15.8 -18.21 -14.51 -3.86 1.79 4.42 4.32 -0.08 -7.02 -17.31 -21.29
-27.59 -22.79 -21.02 -18.54 -6.34 0.76 5.22 5.44 0.17 -7.92 -19.73 -24.52
-29.92 -26.39 -18.82 -19.41 -6.36 0.26 5.12 3.7 0.32 -7.62 -13.42 -20.14
-26.27 -25.54 -25.22 -20.49 -7.66 2.49 4.02 4.26 -0.21 -7.81 -15.53 -22.41
-23.24 -25.42 -20.89 -16.86 -5.58 1.89 5.59 5.85 0.09 -7.35 -11.47 -20.16
-20.16 -21.34 -22.47 -15.43 -9.06 0.98 3.59 3.73 0.12 -6.9 -16.13 -18.13
-24.34 -21.23 -21.78 -15.87 -4.96 2.69 5.72 6.65 1.04 -5.22 -13.72 -24.74
-25.62 -25.01 -20.67 -23.06 -6.38 1.43 4.42 4.06 0.07 -9.2 -12.77 -18.81
-25.84 -26.72 -21.49 -15.15 -4.96 3.41 5.92 5.62 1.74 -4.3 -13.74 -21.24
-20.49 -25.48 -18.65 -13.3 -6.56 3.19 5.92 5.74 3.79 -4.45 -9.85 -23.74
-21.71 -24.14 -25.94 -18.18 -6.51 3.46 6.52 6.07 0.39 -8.12 -10.59 -16.45
-21.86 -21.51 -24.24 -14.68 -6.16 2.48 5.39 4.04 0.09 -6.93 -16.92 -22.16
-18.11 -19.66 -25.74 -16.2 -5.66 1.99 4.25 3.64 1.29 -9.07 -15.8 -19.66
-12.07 -27.86 -26.22 -15.86 -6.96 2.36 5.09 4.34 -0.11 -5.83 -17.25 -22.09
-19.96 -22.49 -25.42 -18.56 -9.36 0.69 5.47 4.35 0.74 -5.75 -18.1 -28.22
-30.09 -15.75 -18.16 -14.46 -3.81 1.84 4.47 4.37 -0.03 -6.97 -17.26 -21.24
-27.54 -22.74 -20.97 -18.49 -6.29 0.81 5.27 5.49 0.22 -7.87 -19.68 -24.47
-29.87 -26.34 -18.77 -19.36 -6.31 0.31 5.17 3.75 0.37 -7.57 -13.37 -20.09
-26.22 -25.49 -25.17 -20.44 -7.61 2.54 4.07 4.31 -0.16 -7.76 -15.48 -22.36
-23.19 -25.37 -20.84 -16.81 -5.53 1.94 5.64 5.9 0.14 -7.3 -11.42 -20.11
-20.11 -21.29 -22.42 -15.38 -9.01 1.03 3.64 3.78 0.17 -6.85 -16.08 -18.08
-24.29 -21.18 -21.73 -15.82 -4.91 2.74 5.77 6.7 1.09 -5.17 -13.67 -24.69
-25.57 -24.96 -20.62 -23.01 -6.33 1.48 4.47 4.11 0.12 -9.15 -12.72 -18.76
-25.79 -26.67 -21.44 -15.1 -4.91 3.46 5.97 5.67 1.79 -4.25 -13.69 -21.19
-20.44 -25.43 -18.6 -13.25 -6.51 3.24 5.97 5.79 3.84 -4.4 -9.8 -23.69
-21.66 -24.09 -25.89 -18.13 -6.46 3.51 6.57 6.12 0.44 -8.07 -10.54 -16.4
-21.81 -21.46 -24.19 -14.63 -6.11 2.53 5.44 4.09 0.14 -6.88 -16.87 -22.11
-18.06 -19.61 -25.69 -16.15 -5.61 2.04 4.3 3.69 1.34 -9.02 -15.75 -19.61
-12.02 -27.81 -26.17 -15.81 -6.91 2.41 5.14 4.39 -0.06 -5.78 -17.2 -22.04
-22.93 -30.36 -23.18 -21.89 -7.35 1.4 4.16 4.35 0.73 -9.61 -17.29 -25.15
-18.94 -24.96 -29.93 -18.5 -6.52 1.8 6.13 6.65 2.13 -7.04 -16.59 -19.13
-15.2 -26.18 -21.23 -15.55 -5.45 1.05 5.6 5.21 1.2 -6.81 -11.79 -22.98
-15.53 -20.9 -20.93 -17.17 -6.25 2.2 4.93 4.03 -0.17 -6.91 -16.04 -24.35
-22.88 -22.05 -20.93 -18.25 -5.73 2 4.83 3.9 0.43 -8.16 -18.81 -21.93
-21.55 -23.36 -19.73 -14 -3.65 2.8 4.23 3.26 -0.57 -6.87 -15.27 -21.95
-20.23 -16.85 -20.23 -18.05 -9.23 0.6 4.09 4.15 0.23 -7.67 -15.64 -18.15
-23.73 -24.95 -21.23 -15.79 -5.37 0.8 5.23 3.65 -0.87 -10.61 -18.4 -12.13
-22.33 -31.98 -22.53 -20.32 -7.04 2.6 4.73 3.05 1.53 -4.41 -12.49 -21.33
-19.43 -22.58 -27.48 -22.85 -7.7 0.1 5.83 4.48 -0.87 -10.41 -10.47 -16.55
-25.93 -19.83 -23.63 -16.2 -5.27 2.4 4.63 2.75 -1.07 -8.91 -11.37 -17.93
-23.13 -28.35 -21.13 -18.65 -5.35 1.17 4.83 5.05 -1.87 -6.61 -17.4 -25.98
-18.33 -23.76 -25.54 -15.25 -6.15 1.5 5.44 3.08 -0.07 -7.49 -18.79 -21.7
-30.45 -14.54 -18.73 -14.77 -6.44 2.1 4.53 4.55 1.93 -5.91 -16.94 -19.45
-25.83 -32.1 -21.43 -12.17 -2.88 2.74 5.49 5.85 0.13 -7.31 -14.29 -22.43
-27.03 -27.79 -20.03 -15.7 -6.78 0.19 2.95 3.34 -1.46 -10 -16.37 -20.66
-27.45 -27.16 -18.64 -14.78 -8.28 0.99 4.82 3.29 -1.28 -7.52 -17.26 -20.86
-28.65 -24.66 -20.67 -15.96 -6.96 0.13 4.45 3.54 -1.66 -7.92 -17.54 -17.94
-28.98 -21.06 -23.2 -17.43 -6.76 1.59 4.42 3.79 0.99 -6.05 -12.73 -16.26
-23.13 -23.49 -16.97 -16.56 -8.83 1.19 4.93 4.14 0.92 -6.82 -14.8 -21.57
-26.34 -25.54 -25.74 -12.03 -6.58 3.18 5.12 4.54 -0.88 -6.72 -14.87 -23.66
-18.81 -22.14 -22.92 -18.71 -9.26 1.59 5.62 4.72 1.69 -4.12 -10.2 -13.66
-22.31 -18.34 -21.97 -12.66 -7.78 1.79 4.92 3.64 -0.88 -6.95 -14.51 -21.16
