"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
22.01 29.92 5.22 5.76 16.81 30.45 0 19.72 0 22.34 28.73 14.1
7.09 12.78 26.35 10.36 38.8 24.32 102.66 76.9 40.64 32.8 25.18 36.45
28.05 17.71 16.57 6.93 1.28 49.24 0 97.83 61.33 46.38 36.18 43.53
29.6 22.02 13.25 18.73 7.46 65.69 31.3 82.3 89.92 8.9 26.31 13.67
5.95 36.5 18.03 12.06 31.22 35.79 64.3 87.25 63.8 12.12 14.66 12.31
22.01 8.81 1.81 21.2 0 28.84 0 3.71 16.51 48.05 49.25 31.54
7.2 14.97 28.85 3.87 0 21.97 0.07 69.14 16.85 6.22 26.06 11.69
35.1 31.36 9.27 32.07 16.68 38.94 0 87.48 52.27 25.18 60.52 6.85
25.2 43.6 14.74 21.93 5.24 0 20.71 41.58 19.51 15.17 27.14 55.01
17.68 32.56 45.06 51.34 21.42 1.02 7.78 35.82 34.32 43.41 54.99 46.6
37.82 30.78 23.71 38.85 15.2 0 2.59 31.48 20.64 50.55 75.27 51.3
38.4 24.1 25.17 30.05 1.16 24.43 39.6 80.04 44.06 14.26 29.47 39.44
45.42 25.84 9.67 22.87 30.33 32.6 56.19 16.62 31.59 25.13 50.84 0
14.13 30.29 3.94 29.34 37.61 0 25.16 56.24 20.47 30.42 39.02 35.32
20.79 33.46 21.07 3.35 23.93 46.99 0 70.3 28.98 54.24 42.87 53.22
24.79 36.8 36.11 5.51 31.1 60.56 58.08 67.91 76.47 44.31 23.15 17.01
9.75 7.72 25.86 4.01 21.54 0 33.64 36.25 99.45 28.23 43.88 19.69
34.05 13.08 21.7 11.36 6.7 39.61 72.88 59.46 55.41 54.7 36.08 12.28
16.26 43.28 19.76 11.44 3.81 68.79 0 48.24 70.91 54.85 39.42 45.57
28.05 35.94 17.17 37.62 0 21.01 45.35 109.43 89.38 59.84 39.5 61.2
19.44 20.67 33.81 30.24 76.86 30.35 25.2 12.85 44.61 89.54 64.07 42.56
31.77 29.65 25.74 54.26 31.69 49.78 10.62 97.21 17.01 8.29 71.65 57.56
40.98 22.5 42.37 19.51 16.17 7.49 0 74.81 51.79 99.09 36.96 59.73
23.94 33.64 19.87 7.81 7.82 13.41 67.04 47.36 110.83 23.9 41.23 16.73
6.62 12.91 12.02 10.97 18.41 30.21 16.77 50.34 66.41 63.73 28.77 52.13
50.96 50.39 14.62 21.1 50.44 19.05 1.44 41.73 59.22 28.72 25.15 87.42
5.46 19.32 29.06 29.3 8.43 39.36 32.53 23.18 66.89 37.08 45.67 30.94
27.77 23.61 20.67 7.17 13.04 10.04 70.08 2.22 31.72 51 52.75 16.2
37.81 56.83 53.87 21.1 23.1 27.86 47.89 89.88 109.31 27.32 43.25 33.18
37.26 17.4 1.3 23.37 0 0 84.59 54.19 38.89 39.95 56.9 33.67
53.16 35.78 9.85 38.33 15.3 67.49 1.28 3.86 43.91 68.53 20.96 46.25
28.62 35.07 24.89 24.8 3.89 2.24 0.03 75.71 40.67 40.85 29.63 37.03
11.6 16.67 22.68 51.17 0 2.63 0.68 61.18 46.24 39.83 23.83 3.15
44.78 32.08 30.02 3.79 44.77 45.45 49.41 50.05 79.66 35.56 57.61 20.36
42.29 46.18 30.2 5.68 7.61 18.78 13.09 15.84 49.1 39.89 53.37 25
34.27 22.35 4.46 8.36 7.78 0 0 5.3 15.14 92.43 31.81 35.64
7.96 17.37 7.92 0.34 4.54 0 72.4 41.54 7.07 27.98 45.44 16.06
34.23 49.7 40.52 24.98 33.22 41.1 34.01 97.88 70.21 47.92 33.32 58.95
37.11 29.8 12.11 12.02 2.56 15.92 69.02 19.09 89.95 48.44 49.09 63.66
35.01 43.03 10.47 36.24 44.65 38.34 98.12 56.29 145.86 62.91 68.1 49.25
21.78 25.13 7.54 11.83 9.25 11.27 0 86.1 0.05 47.66 113.49 56.8
33.43 19.37 23.09 22.86 16.17 18.66 42.22 71.47 33.1 74.86 54.16 25.68
35.82 34.79 29.87 13.69 23.27 44.9 39.53 61.91 58.11 26.63 75.58 29.78
36.95 18.28 36.88 38.69 0 29.82 74.34 77.23 1.21 49.11 62.25 31.46
35.17 41.71 29.13 15.04 7.41 41.81 66.01 36.98 106.2 21.71 62.45 25.72
25.47 47.76 36.31 26.3 28.46 34 0 10.04 54.03 86.98 90.55 26.54
21.66 72.6 43.66 24.36 1.64 44.75 17.45 58.95 30.85 48.79 52.46 35.25
60.19 22.03 24.38 20.21 0 114.99 29.34 26.02 23.59 124.48 81.09 53
53.36 42.28 33.6 72.61 5.16 11.73 24.48 0 51.23 46.81 48.04 31.35
37.98 18.36 11.34 46.73 11.62 20.14 2.44 23.55 68.9 33.93 38.14 69.48
22.01 29.92 5.22 5.76 16.81 30.45 0 19.72 0 22.34 28.73 14.1
7.09 12.78 26.35 10.36 38.8 24.32 102.66 76.9 40.64 32.8 25.18 36.45
28.05 17.71 16.57 6.93 1.28 49.24 0 97.83 61.33 46.38 36.18 43.53
29.6 22.02 13.25 18.73 7.46 65.69 31.3 82.3 89.92 8.9 26.31 13.67
5.95 36.5 18.03 12.06 31.22 35.79 64.3 87.25 63.8 12.12 14.66 12.31
22.01 8.81 1.81 21.2 0 28.84 0 3.71 16.51 48.05 49.25 31.54
7.2 14.97 28.85 3.87 0 21.97 0.07 69.14 16.85 6.22 26.06 11.69
35.1 31.36 9.27 32.07 16.68 38.94 0 87.48 52.27 25.18 60.52 6.85
25.2 43.6 14.74 21.93 5.24 0 20.71 41.58 19.51 15.17 27.14 55.01
17.68 32.56 45.06 51.34 21.42 1.02 7.78 35.82 34.32 43.41 54.99 46.6
37.82 30.78 23.71 38.85 15.2 0 2.59 31.48 20.64 50.55 75.27 51.3
38.4 24.1 25.17 30.05 1.16 24.43 39.6 80.04 44.06 14.26 29.47 39.44
45.42 25.84 9.67 22.87 30.33 32.6 56.19 16.62 31.59 25.13 50.84 0
14.13 30.29 3.94 29.34 37.61 0 25.16 56.24 20.47 30.42 39.02 35.32
20.79 33.46 21.07 3.35 23.93 46.99 0 70.3 28.98 54.24 42.87 53.22
24.79 36.8 36.11 5.51 31.1 60.56 58.08 67.91 76.47 44.31 23.15 17.01
9.75 7.72 25.86 4.01 21.54 0 33.64 36.25 99.45 28.23 43.88 19.69
34.05 13.08 21.7 11.36 6.7 39.61 72.88 59.46 55.41 54.7 36.08 12.28
16.26 43.28 19.76 11.44 3.81 68.79 0 48.24 70.91 54.85 39.42 45.57
28.05 35.94 17.17 37.62 0 21.01 45.35 109.43 89.38 59.84 39.5 61.2
19.44 20.67 33.81 30.24 76.86 30.35 25.2 12.85 44.61 89.54 64.07 42.56
31.77 29.65 25.74 54.26 31.69 49.78 10.62 97.21 17.01 8.29 71.65 57.56
40.98 22.5 42.37 19.51 16.17 7.49 0 74.81 51.79 99.09 36.96 59.73
23.94 33.64 19.87 7.81 7.82 13.41 67.04 47.36 110.83 23.9 41.23 16.73
6.62 12.91 12.02 10.97 18.41 30.21 16.77 50.34 66.41 63.73 28.77 52.13
50.96 50.39 14.62 21.1 50.44 19.05 1.44 41.73 59.22 28.72 25.15 87.42
5.46 19.32 29.06 29.3 8.43 39.36 32.53 23.18 66.89 37.08 45.67 30.94
27.77 23.61 20.67 7.17 13.04 10.04 70.08 2.22 31.72 51 52.75 16.2
37.81 56.83 53.87 21.1 23.1 27.86 47.89 89.88 109.31 27.32 43.25 33.18
37.26 17.4 1.3 23.37 0 0 84.59 54.19 38.89 39.95 56.9 33.67
53.16 35.78 9.85 38.33 15.3 67.49 1.28 3.86 43.91 68.53 20.96 46.25
28.62 35.07 24.89 24.8 3.89 2.24 0.03 75.71 40.67 40.85 29.63 37.03
11.6 16.67 22.68 51.17 0 2.63 0.68 61.18 46.24 39.83 23.83 3.15
44.78 32.08 30.02 3.79 44.77 45.45 49.41 50.05 79.66 35.56 57.61 20.36
42.29 46.18 30.2 5.68 7.61 18.78 13.09 15.84 49.1 39.89 53.37 25
34.27 22.35 4.46 8.36 7.78 0 0 5.3 15.14 92.43 31.81 35.64
7.96 17.37 7.92 0.34 4.54 0 72.4 41.54 7.07 27.98 45.44 16.06
34.23 49.7 40.52 24.98 33.22 41.1 34.01 97.88 70.21 47.92 33.32 58.95
37.11 29.8 12.11 12.02 2.56 15.92 69.02 19.09 89.95 48.44 49.09 63.66
35.01 43.03 10.47 36.24 44.65 38.34 98.12 56.29 145.86 62.91 68.1 49.25
21.78 25.13 7.54 11.83 9.25 11.27 0 86.1 0.05 47.66 113.49 56.8
33.43 19.37 23.09 22.86 16.17 18.66 42.22 71.47 33.1 74.86 54.16 25.68
35.82 34.79 29.87 13.69 23.27 44.9 39.53 61.91 58.11 26.63 75.58 29.78
36.95 18.28 36.88 38.69 0 29.82 74.34 77.23 1.21 49.11 62.25 31.46
35.17 41.71 29.13 15.04 7.41 41.81 66.01 36.98 106.2 21.71 62.45 25.72
25.47 47.76 36.31 26.3 28.46 34 0 10.04 54.03 86.98 90.55 26.54
21.66 72.6 43.66 24.36 1.64 44.75 17.45 58.95 30.85 48.79 52.46 35.25
60.19 22.03 24.38 20.21 0 114.99 29.34 26.02 23.59 124.48 81.09 53
53.36 42.28 33.6 72.61 5.16 11.73 24.48 0 51.23 46.81 48.04 31.35
37.98 18.36 11.34 46.73 11.62 20.14 2.44 23.55 68.9 33.93 38.14 69.48
22.01 29.92 5.22 5.76 16.81 30.45 0 19.72 0 22.34 28.73 14.1
7.09 12.78 26.35 10.36 38.8 24.32 102.66 76.9 40.64 32.8 25.18 36.45
28.05 17.71 16.57 6.93 1.28 49.24 0 97.83 61.33 46.38 36.18 43.53
29.6 22.02 13.25 18.73 7.46 65.69 31.3 82.3 89.92 8.9 26.31 13.67
5.95 36.5 18.03 12.06 31.22 35.79 64.3 87.25 63.8 12.12 14.66 12.31
22.01 8.81 1.81 21.2 0 28.84 0 3.71 16.51 48.05 49.25 31.54
7.2 14.97 28.85 3.87 0 21.97 0.07 69.14 16.85 6.22 26.06 11.69
35.1 31.36 9.27 32.07 16.68 38.94 0 87.48 52.27 25.18 60.52 6.85
25.2 43.6 14.74 21.93 5.24 0 20.71 41.58 19.51 15.17 27.14 55.01
17.68 32.56 45.06 51.34 21.42 1.02 7.78 35.82 34.32 43.41 54.99 46.6
37.82 30.78 23.71 38.85 15.2 0 2.59 31.48 20.64 50.55 75.27 51.3
38.4 24.1 25.17 30.05 1.16 24.43 39.6 80.04 44.06 14.26 29.47 39.44
45.42 25.84 9.67 22.87 30.33 32.6 56.19 16.62 31.59 25.13 50.84 0
14.13 30.29 3.94 29.34 37.61 0 25.16 56.24 20.47 30.42 39.02 35.32
20.79 33.46 21.07 3.35 23.93 46.99 0 70.3 28.98 54.24 42.87 53.22
24.79 36.8 36.11 5.51 31.1 60.56 58.08 67.91 76.47 44.31 23.15 17.01
9.75 7.72 25.86 4.01 21.54 0 33.64 36.25 99.45 28.23 43.88 19.69
34.05 13.08 21.7 11.36 6.7 39.61 72.88 59.46 55.41 54.7 36.08 12.28
16.26 43.28 19.76 11.44 3.81 68.79 0 48.24 70.91 54.85 39.42 45.57
28.05 35.94 17.17 37.62 0 21.01 45.35 109.43 89.38 59.84 39.5 61.2
19.44 20.67 33.81 30.24 76.86 30.35 25.2 12.85 44.61 89.54 64.07 42.56
31.77 29.65 25.74 54.26 31.69 49.78 10.62 97.21 17.01 8.29 71.65 57.56
40.98 22.5 42.37 19.51 16.17 7.49 0 74.81 51.79 99.09 36.96 59.73
23.94 33.64 19.87 7.81 7.82 13.41 67.04 47.36 110.83 23.9 41.23 16.73
6.62 12.91 12.02 10.97 18.41 30.21 16.77 50.34 66.41 63.73 28.77 52.13
50.96 50.39 14.62 21.1 50.44 19.05 1.44 41.73 59.22 28.72 25.15 87.42
5.46 19.32 29.06 29.3 8.43 39.36 32.53 23.18 66.89 37.08 45.67 30.94
27.77 23.61 20.67 7.17 13.04 10.04 70.08 2.22 31.72 51 52.75 16.2
37.81 56.83 53.87 21.1 23.1 27.86 47.89 89.88 109.31 27.32 43.25 33.18
37.26 17.4 1.3 23.37 0 0 84.59 54.19 38.89 39.95 56.9 33.67
53.16 35.78 9.85 38.33 15.3 67.49 1.28 3.86 43.91 68.53 20.96 46.25
28.62 35.07 24.89 24.8 3.89 2.24 0.03 75.71 40.67 40.85 29.63 37.03
11.6 16.67 22.68 51.17 0 2.63 0.68 61.18 46.24 39.83 23.83 3.15
44.78 32.08 30.02 3.79 44.77 45.45 49.41 50.05 79.66 35.56 57.61 20.36
42.29 46.18 30.2 5.68 7.61 18.78 13.09 15.84 49.1 39.89 53.37 25
34.27 22.35 4.46 8.36 7.78 0 0 5.3 15.14 92.43 31.81 35.64
7.96 17.37 7.92 0.34 4.54 0 72.4 41.54 7.07 27.98 45.44 16.06
34.23 49.7 40.52 24.98 33.22 41.1 34.01 97.88 70.21 47.92 33.32 58.95
37.11 29.8 12.11 12.02 2.56 15.92 69.02 19.09 89.95 48.44 49.09 63.66
35.01 43.03 10.47 36.24 44.65 38.34 98.12 56.29 145.86 62.91 68.1 49.25
21.78 25.13 7.54 11.83 9.25 11.27 0 86.1 0.05 47.66 113.49 56.8
