Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
15.18 8.68 7.58 9.28 10.18 29.98 50.98 45.98 21.98 17.98 23.98 17.98
21.98 12.98 10.98 11.98 12.98 29.98 50.98 45.98 21.98 17.98 23.98 17.98
21.98 12.98 10.98 11.98 12.98 29.98 50.98 45.98 21.98 17.98 23.98 12.08
14.88 8.68 10.08 7.98 12.08 29.98 50.98 45.98 21.98 14.68 16.18 14.78
13.28 8.18 7.08 7.68 10.78 28.08 60.18 41.68 26.18 13.78 18.08 16.48
13.89 10.29 7.59 8.69 8.59 23.39 54.39 34.29 23.39 12.09 16.99 12.39
14.19 8.49 7.59 8.19 9.49 41.69 45.49 38.79 15.69 14.69 17.29 14.09
14.89 9.99 11.59 8.99 8.19 19.99 34.59 61.99 20.49 15.69 18.79 13.49
14.89 10.79 8.59 9.29 10.49 18.69 44.49 43.59 39.19 13.99 16.19 13.19
21.09 10.29 8.59 8.19 11.09 27.29 57.39 34.79 20.49 16.19 16.19 13.49
14.19 11.49 10.59 7.99 9.19 24.69 50.39 32.09 15.09 11.79 16.19 14.09
14.89 10.29 8.59 8.49 9.49 28.09 44.09 32.09 17.69 11.29 16.49 14.59
14.89 9.49 8.09 7.99 9.19 22.09 36.09 77.59 21.99 12.49 17.59 12.69
17.39 12.09 9.79 10.09 12.09 22.59 41.29 36.79 19.49 17.99 18.79 15.39
14.89 9.99 7.29 8.99 8.89 21.69 48.79 58.69 17.19 11.29 17.29 13.19
15.19 8.69 7.59 9.29 10.19 29.99 50.99 45.99 21.99 17.99 23.99 17.99
21.99 12.99 10.99 11.99 12.99 29.99 50.99 45.99 21.99 17.99 23.99 17.99
21.99 12.99 10.99 11.99 12.99 29.99 50.99 45.99 21.99 17.99 23.99 12.09
14.89 8.69 10.09 7.99 12.09 29.99 50.99 45.99 21.99 14.69 16.19 14.79
13.29 8.19 7.09 7.69 10.79 28.09 60.19 41.69 26.19 13.79 18.09 16.49
24.04 7.74 5.04 6.64 9.04 22.64 49.14 33.34 14.94 15.14 20.94 9.34
13.14 10.54 7.54 6.14 11.34 26.44 51.14 42.94 17.74 13.64 14.44 13.34
12.54 10.54 10.54 9.14 9.34 16.24 50.74 34.74 16.44 13.44 15.54 10.64
12.84 6.64 9.74 6.64 10.74 33.74 38.44 47.84 19.54 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
12.14 6.64 5.54 6.14 6.14 27.94 48.94 43.94 24.64 15.34 21.84 11.74
12.54 6.44 5.84 5.94 7.84 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
19.94 10.94 8.94 9.94 10.94 27.94 48.94 43.94 19.94 15.94 21.94 15.94
6.45 0.75 2.35 2.95 4.25 39.85 61.55 45.25 27.15 13.35 23.25 8.15
12.75 7.05 6.85 4.35 23.95 21.65 49.35 49.05 8.35 30.15 15.05 6.35
12.95 0.95 5.75 13.75 7.35 25.55 71.65 71.25 28.95 9.05 9.45 7.25
7.05 9.25 24.05 2.55 9.65 28.85 81.75 48.85 5.55 24.45 8.15 15.05
42.85 6.25 3.35 5.55 12.75 32.25 87.55 58.15 25.15 17.95 16.95 8.05
5.55 2.75 12.75 1.75 3.15 28.15 34.65 37.35 11.55 18.95 12.85 16.45
18.55 13.45 4.75 16.35 11.65 15.15 29.25 62.35 19.15 36.95 13.25 4.35
19.95 3.15 3.45 11.45 7.15 11.25 50.85 51.35 29.15 8.85 29.25 2.15
16.75 3.85 11.75 11.35 12.55 23.85 32.25 19.25 15.55 6.25 8.55 9.25
