Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-32.27 -32.7 -29.62 -17.16 -5.36 8.74 11.85 8.96 2.27 -11.1 -24.96 -30.85
-31.15 -30.43 -26.12 -16.86 -2.61 8.74 11.85 8.96 2.27 -11.1 -24.96 -33.12
-34.16 -30.43 -23.55 -16.42 -2.61 8.23 11.85 8.96 2.27 -11.1 -24.96 -30.85
-31.15 -30.43 -26.05 -16.86 -2.61 8.74 11.85 8.96 2.27 -11.1 -24.96 -30.85
-37.47 -33.56 -27.91 -17.89 -2.31 8.44 11.35 9.26 1.77 -10.77 -26.26 -34.01
-31.11 -30.09 -29.17 -20.38 -7.75 6.42 11.09 7.87 0.99 -11.57 -30.54 -38.73
-38.97 -24.46 -23.45 -15.16 -1.04 7.68 10.15 7.46 0.69 -11.96 -26.85 -31.61
-39.13 -29.32 -24.38 -18.54 -3.37 7.97 10.89 8.82 1.21 -11.57 -26.86 -33.47
-36.06 -33.65 -25.47 -19.19 -4.5 7.07 11.09 7.26 1.51 -11.66 -25.52 -31.41
-37.77 -35.39 -29.67 -17.35 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.52 -31.41
-31.71 -30.99 -26.61 -17.42 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.46 -31.41
-31.71 -31.05 -26.61 -17.42 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.52 -31.41
-31.71 -30.99 -26.61 -17.42 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.52 -31.41
-31.71 -30.99 -26.61 -17.42 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.52 -31.41
-31.71 -30.99 -26.61 -17.42 -3.17 8.18 11.29 8.4 1.71 -11.66 -25.52 -31.41
-31.71 -30.99 -25.27 -16.48 -3.8 8.58 11.29 8.62 2.95 -10.14 -23.49 -33.22
-33.53 -31.91 -28.78 -18.22 -4.2 8.95 11.97 9.39 1.91 -11.97 -21.01 -27.52
-33.03 -30.15 -27.95 -16.2 -4.07 8.05 11.26 8.22 1.61 -11.66 -27.04 -32.12
-30.32 -28.86 -28.2 -17.99 -3.78 7.76 10.69 8.02 0.94 -12.77 -27.79 -31.31
-27.97 -32.8 -27.6 -17.02 -4.52 8.47 11.11 8.42 1.53 -11.35 -25.24 -32.42
-31.04 -30.02 -29.1 -20.31 -7.68 6.49 11.16 7.94 1.06 -11.5 -30.47 -38.66
-38.9 -24.39 -23.38 -15.09 -0.97 7.75 10.22 7.53 0.76 -11.89 -26.78 -31.54
-39.06 -29.25 -24.31 -18.47 -3.3 8.04 10.96 8.89 1.28 -11.5 -26.79 -33.4
-35.99 -33.58 -25.4 -19.12 -4.43 7.14 11.16 7.33 1.58 -11.59 -25.45 -31.34
-37.7 -35.32 -29.6 -17.28 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.45 -31.34
-31.64 -30.92 -26.54 -17.35 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.39 -31.34
-31.64 -30.98 -26.54 -17.35 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.45 -31.34
-31.64 -30.92 -26.54 -17.35 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.45 -31.34
-31.64 -30.92 -26.54 -17.35 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.45 -31.34
-31.64 -30.92 -26.54 -17.35 -3.1 8.25 11.36 8.47 1.78 -11.59 -25.45 -31.34
-31.64 -30.92 -25.2 -16.41 -3.73 8.65 11.36 8.69 3.02 -10.07 -23.42 -33.15
-33.46 -31.84 -28.71 -18.15 -4.13 9.02 12.04 9.46 1.98 -11.9 -20.94 -27.45
-32.96 -30.08 -27.88 -16.13 -4 8.12 11.33 8.29 1.68 -11.59 -26.97 -32.05
-30.25 -28.79 -28.13 -17.92 -3.71 7.83 10.76 8.09 1.01 -12.7 -27.72 -31.24
-27.9 -32.73 -27.53 -16.95 -4.45 8.54 11.18 8.49 1.6 -11.28 -25.17 -32.35
-30.7 -35.53 -28.94 -20.97 -5.76 6.91 10.74 8.43 2.44 -15.03 -27.73 -34.74
-28.6 -34.24 -32.51 -15.93 -3.99 8.53 12.19 9.39 2.38 -13.51 -28.51 -31.08
-28.79 -34.64 -26.12 -18.11 -3.84 6.3 10.21 8.39 0.3 -11.27 -22.91 -34.85
