Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
-32.48 -32.84 -29.7 -17.33 -5.38 8.69 11.81 8.89 2.18 -11.24 -25.15 -31.07
-31.37 -30.68 -26.35 -17.03 -2.71 8.69 11.81 8.89 2.18 -11.24 -25.16 -33.22
-34.21 -30.69 -23.9 -16.64 -2.71 8.21 11.81 8.89 2.18 -11.24 -25.16 -31.07
-31.38 -30.66 -26.26 -17.03 -2.71 8.69 11.82 8.89 2.18 -11.24 -25.16 -31.07
-37.52 -33.73 -28.03 -18.03 -2.41 8.39 11.33 9.17 1.68 -10.94 -26.45 -34.15
-31.34 -30.34 -29.27 -20.45 -7.7 6.45 11.06 7.84 0.93 -11.69 -30.55 -38.73
-38.93 -24.9 -23.74 -15.39 -1.19 7.66 10.17 7.44 0.64 -12.09 -27 -31.82
-39.13 -29.64 -24.63 -18.66 -3.46 7.94 10.87 8.74 1.15 -11.69 -26.97 -33.58
-36.03 -33.76 -25.72 -19.24 -4.55 7.06 11.06 7.24 1.45 -11.78 -25.71 -31.62
-37.76 -35.48 -29.77 -17.48 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.71 -31.62
-31.92 -31.21 -26.8 -17.58 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.61 -31.63
-31.93 -31.32 -26.8 -17.58 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.71 -31.61
-31.93 -31.22 -26.8 -17.58 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.71 -31.62
-31.93 -31.22 -26.8 -17.58 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.7 -31.62
-31.92 -31.22 -26.8 -17.58 -3.26 8.14 11.26 8.34 1.63 -11.79 -25.71 -31.62
-31.92 -31.22 -25.53 -16.7 -3.85 8.52 11.26 8.54 2.81 -10.32 -23.73 -33.41
-33.69 -32.11 -29 -18.36 -4.25 8.95 11.96 9.33 1.83 -12.09 -21.35 -27.87
-33.21 -30.42 -28.09 -16.38 -4.15 8.04 11.26 8.15 1.53 -11.79 -27.19 -32.31
-30.53 -29.13 -28.4 -18.18 -3.87 7.74 10.66 7.94 0.82 -12.89 -28.02 -31.52
-28.14 -33.01 -27.79 -17.19 -4.66 8.45 11.05 8.33 1.44 -11.48 -25.42 -32.6
-31.26 -30.26 -29.19 -20.37 -7.62 6.53 11.14 7.92 1.01 -11.61 -30.47 -38.65
-38.85 -24.82 -23.66 -15.31 -1.11 7.74 10.25 7.52 0.72 -12.01 -26.92 -31.74
-39.05 -29.56 -24.55 -18.58 -3.38 8.02 10.95 8.82 1.23 -11.61 -26.89 -33.5
-35.95 -33.68 -25.64 -19.16 -4.47 7.14 11.14 7.32 1.53 -11.7 -25.63 -31.54
-37.68 -35.4 -29.69 -17.4 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.63 -31.54
-31.84 -31.13 -26.72 -17.5 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.53 -31.55
-31.85 -31.24 -26.72 -17.5 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.63 -31.53
-31.85 -31.14 -26.72 -17.5 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.63 -31.54
-31.85 -31.14 -26.72 -17.5 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.62 -31.54
-31.84 -31.14 -26.72 -17.5 -3.18 8.22 11.34 8.42 1.71 -11.71 -25.63 -31.54
-31.84 -31.14 -25.45 -16.62 -3.77 8.6 11.34 8.62 2.89 -10.24 -23.65 -33.33
-33.61 -32.03 -28.92 -18.28 -4.17 9.03 12.04 9.41 1.91 -12.01 -21.27 -27.79
