Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
12.91 8.86 4.52 3.91 6.89 16.94 31.05 27.64 16.91 14.91 13.93 10.91
12.91 8.86 4.52 3.91 6.89 16.94 31.05 27.64 16.91 14.91 13.93 10.91
12.91 8.86 4.52 3.91 6.89 16.94 31.05 27.64 16.91 14.91 13.93 10.91
12.91 8.86 4.52 3.91 6.89 16.94 31.05 27.64 16.91 14.91 13.93 10.91
12.91 8.86 4.52 3.91 6.89 16.94 31.05 27.64 16.91 14.91 13.93 10.91
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 13.23 11.97 8.78
11.4 8.59 5.14 3.25 6.04 17.57 30.95 27.54 16.81 14.98 12.55 10.81
12.81 7.73 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 14.59 9.67
13.84 8.01 3.91 3.36 5.96 20.12 32.53 32.98 15.4 12.75 12.69 11.74
13.3 8.83 4.35 3.71 6.14 18.53 26.66 25.79 15.06 14.98 12.69 10.71
12.05 8.11 4.35 3.05 6.14 13.67 28.53 26.99 16.6 13.16 12.55 10.43
12.81 7.02 3.53 4.65 7.72 14.7 29.53 26.51 16.33 15.63 13 8.95
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 13.23 11.97 8.78
11.4 8.59 5.14 3.25 6.04 17.57 30.95 27.54 16.81 14.98 12.55 10.81
12.81 7.73 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 13.83 10.81
12.81 8.76 4.42 3.81 6.79 16.84 30.95 27.54 16.81 14.81 14.59 9.67
