Jan Feb Mar Apr Mai Jun Jul Aug Sep Okt Nov Dez
11.56 11.56 13.04 12.26 15.74 29.74 34.01 32.26 28.04 22.84 15.08 16.08
11.56 11.56 13.04 12.26 15.74 29.74 34.01 32.26 28.04 22.84 15.08 16.08
11.56 11.56 13.04 12.26 15.74 29.74 34.01 32.26 28.04 22.84 15.08 16.08
11.56 11.56 13.04 12.26 15.74 29.74 34.01 32.26 28.04 22.84 15.08 16.08
11.56 11.56 13.04 12.26 15.74 29.74 34.01 32.26 28.04 22.84 15.08 16.08
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
12.12 12.12 13.6 12.82 16.3 30.3 34.57 32.82 28.6 23.4 15.64 16.64
5.9 6.7 9.55 9.45 9.36 23.07 29.29 37.9 23.03 22.27 15.22 8.5
13.82 5.88 7.19 9.45 13.35 31.9 29.97 32.82 28.6 23.4 15.64 16.64
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
12.11 12.11 13.59 12.81 16.29 30.29 34.56 32.81 28.59 23.39 15.63 16.63
5.89 6.69 9.54 9.44 9.35 23.06 29.28 37.89 23.02 22.26 15.21 8.49
13.81 5.87 7.18 9.44 13.34 31.89 29.96 32.81 28.59 23.39 15.63 16.63
16.44 9.38 10.49 12.39 12.19 21.56 32.66 28.24 26.13 30.64 14.81 16.87
10.26 10.25 10.17 21.81 11.42 30.15 49.1 25.76 24.7 19.32 17.34 22.87
9.53 14.05 11.71 8.88 12.95 21.61 28.23 30.72 24.31 17.09 14.85 7.94
7.98 11.72 6.61 7.52 14.06 22.57 22.27 25.54 27.82 18.41 16.08 16.51
9.26 12.09 11.29 10.06 22.25 37.41 27.66 40.02 33.41 33.98 8.82 11.75
16.89 11.04 14.68 16.05 16.42 34.37 19.44 27.59 24.1 14.42 15.05 18.93
7.2 10.64 9.13 15.68 9.4 35.6 37.4 18.58 36.53 22.32 8.26 13.24
14.06 10.46 10.22 9.48 14.88 19.69 38.85 29.63 24.36 15.84 16.2 14.22
13.99 12.23 10.48 10.49 16.25 22.2 24.91 44.19 39.45 24.59 14.53 40.73
8.22 11.03 31.12 13.43 12.26 20.33 22.93 43.88 34.92 20.41 21.26 11.15
