"LAVESInumber" "01-LAGM" "02-LASI" "03-LACA" "04-PIOB" "05-PISY" "06-PISI" "07-BEPE" "08-LALA" "09-PIGL" "10-PIMA" "11-BEPA" "12-POTR" "13-POBA" "14-PICO" "15-LALA" "16-BENE" "17-TSME" "18-PIMA" "19-PISI" "20-PIGL" "21-POTR" "22-POBA"
2001 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2002 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2003 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2004 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 0 999999 999999 999999 999999 999999 999999 999999 999999
2005 999999 999999 999999 999999 999999 999999 999999 0 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2006 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2007 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2008 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2009 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2010 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2011 999999 999999 999999 999999 999999 999999 999999 700 700 700 0 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2012 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2013 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2014 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2015 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2016 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2017 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2018 999999 999999 999999 999999 999999 999999 999999 0 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2019 999999 999999 999999 999999 999999 999999 999999 700 700 0 700 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2020 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2021 999999 999999 999999 999999 999999 999999 999999 700 0 0 0 700 700 700 999999 999999 999999 999999 999999 999999 999999 999999
2022 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2023 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2024 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
2025 999999 999999 999999 999999 999999 999999 999999 0 0 0 0 0 0 0 999999 999999 999999 999999 999999 999999 999999 999999
