number species area conage seedflightrate seedtravelbreeze seeddescent distanceratio seedprodfactor germinationrate germinationweatherinfluence gdbasalfacq gdbasalfac gdbasalconst gdbreastfacq gdbreastfac gdbreastconst dbasalheightalloslope dbasalheightalloexp dbreastheightalloslope dbreastheightalloexp dbasalheightslopenonlin dbreastheightslopenonlin heightloga heightlogb heightlogc mortbg maximumage mortage mortyouth mortyouthinfluenceexp mgrowth mdensity densityvaluemaximumatheight mweather heightweathermorteinflussexp mwindthrow mdrought seedconemort seedfloormort seedmaxage janthresholdtemp janthresholdtempcalcvalue weathervariablea weathervariableb weathervariablec weathervariabled minactivelayer minsoilwater maxsoilwater rootingdepth relbarkthickness resprouting biomassleafbase biomassleaffaca biomassleaffacb biomasswoodbase biomasswoodfaca biomasswoodfacb lightdemand spg
1 ABDE 1 60 0.8 252.1562391 0.275402444 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.94299996 6.6 1 25.98355328 0 1 140 2.9 50.6 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
2 ABDS 1 50 0.8 410.3661292 0.304606036 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -9.924941952 6.6 1 13.17505019 0 1 140 2.2 56.2 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
3 ABER 1 50 0.8 683.9423283 0.243685264 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.2750084 6.6 1 23.3359997 0 1 140 2.2 56.2 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
4 ABFA 1 50 0.8 686.6569603 0.161814585 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.8023256 2.9954787 0.9472393 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.767 6.6 1 26.63499985 0 1 140 2.2 56.2 140 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
5 ABFO 1 50 0.8 178.9788852 0.310402847 0.16 16 0.01 0.45 0.000168713 -0.027053887 -2.514742297 0.000168713 -0.027053887 -2.514742297 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.2750084 6.6 1 23.3359997 0 1 140 2.9 25.1 0 1 0 -4.059 2.123 0 -3.156 2.47 0 3 0.6
6 ABGE 1 12 0.8 385.7455895 0.21603185 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 10.971701 3.591567 3.146857 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.2750084 6.6 1 23.3359997 0 1 140 2.2 56.2 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
7 ABSP 1 50 0.8 432.5022171 0.321128733 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -15.2750084 6.6 1 23.3359997 0 1 140 2.2 56.2 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
8 ABSQ 1 50 0.8 526.5262664 0.21102672 0.16 16 0.01 0.45 -0.005786605 -0.04123932 -2.168715265 -0.005786605 -0.04123932 -2.168715265 42.88 1 42.88 1 44.43163 7.02 7.9687995 3.2380932 0.9876262 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 7 -17.61999989 6.6 1 19.32999954 0 1 140 2.5 39.4 0 1 0.01 -4.059 2.123 0 -3.156 2.47 0 3 0.6
9 CUFU 1 20 0.8 193.5272536 0.502369668 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 11.678454 3.9435 4.300795 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -14.66222169 6.6 1 32.70000076 0 1 180 1.2 68.8 0 1 0.01 -2.591 2.054 0 -1.422 2.304 0 3 0.6
10 CUTO 1 6 0.8 110.5870021 0.502369668 0.16 16 0.01 0.45 -0.002826103 -0.014607353 -3.320745986 -0.002826103 -0.014607353 -3.320745986 42.88 1 42.88 1 44.43163 7.02 11.678454 3.9435 4.300795 0.0001 500 8.18785 0.4 0.79295 0.01 0.2 0 0.1 0.2 0.01 0.5 0.5 0.5 4 -14.66222169 6.6 1 32.70000076 0 1 180 1.2 68.8 0 1 0.01 -2.591 2.054 0 -1.422 2.304 0 3 0.6
