"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
0 7.7 10.3 5.6 4.6 6.8 49 21.6 35.3 11.6 10 4.7
15.5 6 2 12.8 2 30.2 17.8 37.3 51.6 14.6 9.4 17.1
16.4 13.2 1.1 9 3 11.3 46 30.3 6.2 23.6 17.9 24.2
14.8 21.5 2.1 6.3 17.6 38.9 39.7 7.9 29.1 7.5 28.6 26.5
0 5.8 5.7 11.7 10 55.4 16.6 43.7 31.6 12.4 21.2 15.9
0 2.8 13.7 5.5 16.4 56.7 41 0 20.7 43.7 11 21.2
0 3.1 15.1 20.7 13.5 26.9 44.4 58.2 9.6 29.3 11.3 15.5
16.9 22.2 0 14.6 17.5 45.2 84.1 40.3 13.4 31.9 13 0
12.4 2.2 3.7 12 21.9 64.3 24.2 31.4 16 34.5 22.5 0
18 6.4 0 2.5 21.1 49.6 0 44.3 31.5 43.3 24.7 0
2.2 3 6 7 4.9 20 20.3 45.6 19.3 19.4 18.4 5
13.4 1.9 3.1 6.6 10.2 33.5 20.8 38.3 31.3 24.3 17.3 16.3
11.3 10.3 12.3 14.3 17.3 34.3 34.3 42.6 33.5 24.3 17.3 16.3
11.3 10.1 12.3 14.3 17.3 34.3 34.3 38.3 31.3 24.6 9.9 13
10.7 6.6 1.8 3.4 7.6 31 8.6 23.5 24.7 21 13 12.9
3.8 5.9 3 2.1 7 26.3 132.9 21 4.1 17.8 8.3 4.3
5.2 8.7 1.1 2.2 4.6 34.3 89.1 35 14.7 16.9 8.5 4.3
0 3.1 2.1 3.1 13.4 69.5 30.8 30.7 24.8 36.6 12.8 23.3
13.3 1.6 2.1 2.9 2.6 14 33.2 71.6 13.5 17.3 5 2.7
3 5.7 3.5 2.9 3.9 15 34.2 49 16.3 10.3 4.2 5.2
3.7 6 5.6 2.1 2.7 40.7 33.6 121.2 55.6 14.2 5.5 15.6
10 5.1 7.1 13.7 16.2 39.5 105.6 27.2 32.9 20.7 6.1 2.2
0 4.8 1.7 18.7 15.5 46.1 52.2 48.7 32.9 30.8 14.9 0
30.1 20.5 2.3 7.4 13.1 35.6 79.3 61.9 39.9 14.1 5 8.8
5 6.3 1.2 5.9 16.1 22.4 19.7 72 44.3 9.8 3.1 3.1
11.3 4.3 4.6 7.9 21.8 30.1 27.1 75.1 41.1 42.8 21.7 14.1
12.5 14.5 7.8 5.3 33.7 22.5 33 63.8 24.5 17.6 8.6 20.3
3.8 7.5 9 17 10.5 35.2 20.1 37.6 36.4 13.3 13.6 9.2
3.2 2.4 2.2 5.3 10.4 46 31.2 40.1 22.1 22 3.8 6.6
8.5 4.7 2.1 4.6 18.1 10.5 29.9 38.8 20.6 23.6 7 2.6
3.9 5 8.5 3.7 12.2 19.8 31 20.2 12.2 21.2 8.6 17.5
3.3 5 3.9 1.6 3.6 68.7 43.3 28.3 10 31.1 15.9 9
6.4 0.7 1.8 2.3 7.9 25.4 60.4 66.5 12.9 15.6 9.8 5.3
4.3 5.7 2.1 4.5 7.7 27.2 64.9 80.4 30 13 8.2 5
1.4 5.2 3 6.2 8.4 3.2 43.3 55.3 17.3 17.5 51.4 36.8
12.5 21 21.9 8 12.1 31.4 41.9 29.8 16.8 23.8 18.1 11.9
18.2 1.5 1.7 7.2 5.3 6.6 36.6 30.5 24 16.2 7.2 13.3
5.8 13.4 4.6 3.9 4.9 39.5 16.6 15 14 6.5 13.3 9.4
11.2 2.1 8.1 12.7 12.9 10.1 25.3 13.7 40.5 7.2 2.4 9.1
9.7 8.9 2.1 6.7 15.3 25 11.4 62.9 27.1 16 3.8 6.6
6.3 12.8 9.1 8 4.3 24 6.1 12.5 29.9 11.5 16.5 19.7
5.4 5.3 5.7 4.2 4.6 75.4 96.3 59.5 35.2 15.2 12.1 27.1
7.2 6 20.1 8.9 21.4 21.2 52.4 7.3 35.2 29.3 11.7 2.8
18.8 14.4 13.7 16.4 16.7 23.4 20.6 20.4 22.8 21.2 7.7 4.9
7.6 18.7 14.5 10.5 12.5 11.2 57.2 23.3 17.3 24.2 28.9 15.4
9.1 27.4 19.9 7 24 77.4 22.8 28.3 28.1 33.8 6.4 23.1
19.9 2.3 13.2 8.4 11.5 58.6 25.4 21 31.2 21.6 5.6 15.5
13.4 9.7 6.1 14.7 35.6 56.6 23.3 64.6 44.6 25 22 28.5
16.8 16 12.8 17.8 10.7 14.5 11.2 49 38.4 22.4 36.9 23.7
5.9 8.2 20.9 15.9 8.2 31.6 61.8 47.5 22.9 35.1 5.1 38.7
9.8 14.6 7 11.3 12.1 41.3 29.1 18.9 28.6 11 20.3 26.3
9.6 0.9 9.2 5.7 17.7 38.5 74.3 27 45.7 36.4 22.9 14.4
10.4 1.7 19.8 7.3 15.7 15.3 60.1 16.2 29.9 34.5 32.6 32
17.8 7.3 1.4 26.1 14.6 2.7 51.3 28.9 24.8 22.6 8.5 15.6
24.7 26.7 13.3 5.5 16.6 25.4 71.1 16.6 46.7 31.9 9.6 8.9
6.4 16.9 15.7 9.7 21.5 29.9 48.5 49.2 12.6 49.3 8.6 20.1
6.4 9.6 6.4 16.7 27 29.3 34.1 11.8 35.4 24 16.3 23.4
7.6 8.4 9.1 7.5 13.5 25.7 25.2 22.4 50.6 17.6 20.8 16.7
10.5 5 4.7 38.8 15.9 68.5 54.1 22.4 18.6 10.1 15.9 7.2
5.9 14.6 7 4.4 10.4 8.8 18.1 23.3 27.5 12.7 16.8 2.4
3.1 9 1.8 2.9 8.1 18.1 11.3 20.4 38.7 14.4 17.6 16.5
6 9.1 9.2 6.4 27.1 47 8 49.1 45.2 50.6 3.1 7.7
18 9.8 16.2 19.9 13.1 45.7 51.4 22.2 24 36.7 15.5 25.4
3.4 10.1 7 20.9 2.7 50.5 40.3 8.1 51.3 27.8 3 13.5
14.7 7.4 7.4 8.7 16 10.5 34.2 59.9 26.8 8.3 20.1 13
14.3 12.4 7.6 8.1 16.4 17.5 14.7 55.9 56.1 27.3 14.3 76.4
4.3 6.5 54.5 16.6 5.1 11.4 14.5 55.6 42.5 17.8 26.4 7.4
14.3 27.9 7.2 9.1 16.3 44.1 19.4 26.7 19.4 20.1 28 6.8
3.7 8.5 29.4 8.3 26.3 34.9 22.3 15.5 4.8 44.9 50.4 15.3
16.6 13.7 13.1 9.4 4.7 38.1 44.1 47.1 84.2 32.3 8.3 23.4
4.8 4.6 21.2 29.9 16 27.5 53.5 58.2 44.2 20.5 16.5 10.7
6.5 7 20.2 27.3 21.7 31.9 36.2 42.4 0.3 22.9 4.7 22.4
2.3 8.3 8.7 27 23.7 11.4 57.2 79 7.2 23.5 23.6 11.5
9.1 6.3 24.7 6.7 21.4 35.2 26.5 19.9 23.9 30.6 8.9 22.7
36.3 18.1 24.6 17.3 14.2 28.2 57.4 46.2 17.6 15.5 19.6 31.9
