"Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sept" "Okt" "Nov" "Dec"
-32.4 -32.2 -26.8 -16 -3.1 8 12.8 11.5 3 -9.4 -21.8 -30.3
-28.2 -33.8 -28.3 -17.1 -3.8 7.5 14.6 11.1 2.4 -10.3 -23.1 -31.8
-36.3 -30.5 -25.3 -14.8 -2.2 8.5 11.1 11.8 3.7 -8.4 -20.4 -28.6
-28.4 -34.3 -28.7 -17.5 -4.1 7.4 14.7 11 2.2 -10.6 -23.5 -32.3
-31.5 -32.6 -27.2 -16.3 -3.3 7.9 12.9 11.4 2.9 -9.6 -22.1 -30.7
-33.1 -33.6 -28.1 -17 -3.8 7.6 12.6 11.1 2.5 -10.2 -22.9 -31.7
-36.5 -32.2 -26.9 -16 -3.1 8 11.3 11.4 3 -9.4 -21.8 -30.3
-28.7 -36.6 -30.8 -19.1 -5.2 6.7 14.9 10.5 1.4 -12 -25.4 -34.5
-33.9 -34.8 -29.2 -17.8 -4.3 7.2 12.8 10.9 2.1 -10.9 -23.9 -32.8
-33.7 -36 -30.3 -18.7 -4.9 6.9 12.8 10.6 1.6 -11.7 -24.9 -34
-35.5 -31.1 -25.6 -17.5 -7.9 1.9 14.7 7.9 2.6 -6.7 -25.9 -31.1
-25.7 -35.2 -25.3 -19 -6.3 6.5 12.6 8.1 1.8 -13 -15.4 -28.8
-37.8 -33.7 -28.3 -19.9 -6.6 6.8 11.7 10.7 3.8 -6.6 -26.4 -32.8
-29.7 -34.1 -28.8 -15.7 -5.4 5.9 15 9.6 4.3 -10.4 -30.5 -29.2
-24.8 -29.3 -27.4 -16.9 -9.5 3.2 11.2 11.4 -1.3 -10 -29.1 -29
-29.2 -16.7 -23.5 -18.6 -5.6 5.8 13.4 9.2 1.7 -8.3 -24.4 -31.5
-35.9 -22.1 -33.5 -21 -0.9 7.3 13.3 10 2.3 -14 -25.6 -28.3
-39 -33.5 -25.7 -13.2 -6.5 4.7 15 8.7 5.9 -11 -26 -23.3
-19.4 -25 -33.4 -18.1 -3.9 6.8 12.5 6.2 2.1 -13.4 -22.1 -28.5
-24.3 -30.7 -23.1 -12.3 -5.7 6.9 11.5 10.3 4.3 -13.5 -21.8 -28.7
-35.3 -26.6 -27.2 -20.5 -9.5 6.4 11.7 10.2 1.9 -10.8 -23.4 -21.1
-31.3 -28.1 -28.1 -16.3 -5.4 7.6 11.6 9.3 2.9 -14 -24.1 -34.6
-36.6 -35.7 -34.1 -22.6 -5.6 10.3 16 10.8 2.5 -7.5 -27.2 -33.1
-24.1 -30.1 -34.8 -22.3 -3.3 8.1 12.5 8.4 3.7 -10.9 -26.5 -20.7
-30.8 -22.3 -23.7 -7.9 -3.1 9.7 11.7 10.9 3.1 -7.6 -24.8 -34.4
-25.2 -29.9 -25.5 -16.4 -5.6 2.7 13.2 9.6 2.3 -11.5 -25.6 -29
-28 -28.7 -28.7 -14.5 -4.1 11.3 14.2 10.1 4.3 -8.4 -30.4 -34.9
-32.3 -31.5 -27.3 -17.5 -6.5 5.5 14.3 7.3 -0.3 -9.1 -27.7 -35.2
-32.4 -33.8 -23.8 -15.9 -2.3 5.2 13.8 9.5 1.3 -1.5 -24.2 -26.7
-29.2 -34.5 -25.6 -19.8 -5 4.5 14.7 10.3 4.7 -6.2 -14.9 -28.6
-30.3 -29.6 -21.5 -15.7 -5.6 1.5 11.4 8.7 4.7 -5.5 -27.9 -23.2
-34.3 -33.5 -28.6 -18.1 -4.6 6.5 12.2 8.4 2.4 -11.7 -28.5 -28
-36.9 -35 -32.6 -17.8 -7.2 3.7 11.4 7.6 5.7 -5.7 -24.8 -25.9
-36.1 -27.1 -30.9 -18.3 -5.9 5.1 11 7.8 4.4 -14.2 -27.3 -34.4
-34.1 -27.3 -22.6 -11.1 -3.8 7.3 18 7.3 1.6 -11.7 -22.9 -25.5
-33.7 -32.5 -27.5 -15.5 -6.6 8.1 12.1 12.2 0 -9.7 -25 -22.1
-30.9 -37.4 -33.8 -17 -8.5 7.2 14.3 9.9 1.3 -11.7 -27.7 -35.2
-32.1 -25.6 -23.1 -21.8 -8.5 7.1 15.2 8.3 2.6 -17.7 -18 -24.3
-33.1 -34 -27 -20.9 -4.5 9.7 13.2 11.2 -2.5 -19.8 -32.5 -34
-31.2 -35.7 -31.2 -20.7 -8.2 1.9 15.3 6.1 -0.9 -16.2 -33.4 -37.2
-35.9 -26.8 -21.2 -18.8 -8.2 10.9 14.7 13.2 3.2 -11.3 -24.9 -30.3
-34.2 -38.1 -31.5 -19.1 -5.6 9.4 11.2 8.1 1.8 -14.2 -27.2 -22.1
-39.9 -34.1 -19.7 -17.7 -7.9 2.9 10.9 8.5 3.4 -11.7 -24.9 -33.2
-28.5 -29.2 -24.9 -15.1 -8.7 3.1 13 11.1 2.6 -10.4 -27 -35.5
-29.2 -29.1 -27.5 -20 -9 5.3 12.3 9.4 0.2 -10.8 -22.4 -31.9
-33.8 -19 -32.1 -20.4 -9.3 2.6 13.4 10.3 4.6 -10.5 -29.4 -26.5
-35 -36.9 -25 -16.7 -8.5 3.3 15 12.1 2.7 -12.5 -29.9 -31.5
-39.2 -39.7 -34.3 -19.7 -7.5 3.3 11.9 9.3 1.4 -15.3 -27.8 -19.9
-35.3 -30.8 -25.9 -15 -7 5.7 16.6 8.7 2.3 -3.5 -16.9 -20.7
-31 -27.3 -20.1 -16.6 -7.8 3.7 12 8.2 1.7 -12.3 -34.1 -36
-34.3 -38.3 -28.5 -18.8 -6.4 6.3 16.5 10.2 0.2 -12.4 -19.7 -27.1
-33.3 -34.9 -25.1 -19.7 -9.1 3.6 14 7.2 2.1 -13.4 -23 -27.1
-34.2 -33.7 -24.4 -19 -5.6 5.5 13.5 14.5 3.9 -13.6 -19.8 -24.9
-36.2 -31.7 -29.6 -14.5 -10.3 5.2 12.2 8.5 -0.6 -11.6 -30.7 -31.8
-32.7 -28 -21.6 -19 -7.4 4.3 12.5 10.8 1.6 -13.2 -28.5 -32.4
-37.5 -33.4 -20.7 -15.3 -6.5 2.9 10 10.4 2.3 -18.5 -33.1 -27.8
-31 -30.9 -27 -17 -4.8 7.8 14.1 10.1 3.3 -12.4 -26.3 -18.8
-29.2 -33.1 -28 -13 -7 6.4 10.2 7.2 1.9 -15.9 -28.2 -34.1
-32.1 -35.1 -30 -14.3 -2.6 6.2 11.8 7.5 1.1 -17.3 -28.4 -31.2
-37.7 -30.2 -31 -20.1 -7.9 6.6 14.3 11.3 1.7 -8.8 -20.3 -37.3
